Country,Research Rating,Inflation Rating,Continent
http://dbpedia.org/resource/Estonia,high,low,0
http://dbpedia.org/resource/Ethiopia,high,high,3
http://dbpedia.org/resource/Fiji,low,low,4
http://dbpedia.org/resource/Finland,high,low,0
http://dbpedia.org/resource/France,high,low,0
http://dbpedia.org/resource/Gabon,low,low,3
http://dbpedia.org/resource/Georgia,high,low,1
http://dbpedia.org/resource/Germany,high,low,0
http://dbpedia.org/resource/Ghana,high,high,3
http://dbpedia.org/resource/Greece,high,low,0
http://dbpedia.org/resource/Grenada,low,low,2
http://dbpedia.org/resource/Guatemala,low,low,2
http://dbpedia.org/resource/Guinea,low,high,3
http://dbpedia.org/resource/Guinea-Bissau,low,low,3
http://dbpedia.org/resource/Guyana,low,low,2
http://dbpedia.org/resource/Haiti,low,high,2
http://dbpedia.org/resource/Honduras,low,high,2
http://dbpedia.org/resource/Hungary,high,high,0
http://dbpedia.org/resource/Iceland,high,high,0
http://dbpedia.org/resource/India,high,high,1
http://dbpedia.org/resource/Indonesia,high,high,1
http://dbpedia.org/resource/Iraq,low,high,1
http://dbpedia.org/resource/Ireland,high,low,0
http://dbpedia.org/resource/Israel,high,low,1
http://dbpedia.org/resource/Italy,high,low,0
http://dbpedia.org/resource/Jamaica,low,high,2
http://dbpedia.org/resource/Japan,high,low,1
http://dbpedia.org/resource/Jordan,high,high,1
http://dbpedia.org/resource/Kazakhstan,low,high,1
http://dbpedia.org/resource/Kenya,high,high,3
http://dbpedia.org/resource/Kosovo,low,low,0
http://dbpedia.org/resource/Kuwait,high,low,1
http://dbpedia.org/resource/Kyrgyz_Republic,low,low,1
http://dbpedia.org/resource/Lao_PDR,low,high,1
http://dbpedia.org/resource/Latvia,high,low,0
http://dbpedia.org/resource/Lebanon,high,low,1
http://dbpedia.org/resource/Lesotho,low,high,3
http://dbpedia.org/resource/Liberia,low,high,3
http://dbpedia.org/resource/Libya,low,high,3
http://dbpedia.org/resource/Lithuania,high,low,0
http://dbpedia.org/resource/Luxembourg,high,low,0
http://dbpedia.org/resource/Madagascar,low,high,3
http://dbpedia.org/resource/Malawi,low,high,3
http://dbpedia.org/resource/Malaysia,high,low,1
http://dbpedia.org/resource/Maldives,low,high,1
http://dbpedia.org/resource/Mali,low,high,3
http://dbpedia.org/resource/Malta,low,low,0
http://dbpedia.org/resource/Mauritania,low,high,3
http://dbpedia.org/resource/Mauritius,low,low,3
http://dbpedia.org/resource/Mexico,high,high,2
http://dbpedia.org/resource/Moldova,low,high,0
http://dbpedia.org/resource/Mongolia,low,high,1
http://dbpedia.org/resource/Montenegro,low,low,0
http://dbpedia.org/resource/Morocco,high,low,3
http://dbpedia.org/resource/Mozambique,low,low,3
http://dbpedia.org/resource/Myanmar,low,low,1
http://dbpedia.org/resource/Namibia,low,high,3
http://dbpedia.org/resource/Nepal,low,high,1
http://dbpedia.org/resource/Netherlands,high,low,0
http://dbpedia.org/resource/New_Zealand,high,low,4
http://dbpedia.org/resource/Nicaragua,low,high,2
http://dbpedia.org/resource/Niger,low,low,3
http://dbpedia.org/resource/Nigeria,high,high,3
http://dbpedia.org/resource/Norway,high,low,0
http://dbpedia.org/resource/Oman,high,low,1
http://dbpedia.org/resource/Pakistan,high,high,1
http://dbpedia.org/resource/Panama,low,high,2
http://dbpedia.org/resource/Papua_New_Guinea,low,low,4
http://dbpedia.org/resource/Paraguay,low,low,2
http://dbpedia.org/resource/Peru,high,low,2
http://dbpedia.org/resource/Philippines,high,low,1
http://dbpedia.org/resource/Poland,high,low,0
http://dbpedia.org/resource/Portugal,high,low,0
http://dbpedia.org/resource/Qatar,high,low,1
http://dbpedia.org/resource/Romania,high,low,0
http://dbpedia.org/resource/Russian_Federation,high,high,1
http://dbpedia.org/resource/Rwanda,low,high,3
http://dbpedia.org/resource/Samoa,low,low,4
http://dbpedia.org/resource/San_Marino,low,low,0
http://dbpedia.org/resource/Sao_Tome_and_Principe,low,high,3
http://dbpedia.org/resource/Saudi_Arabia,high,low,1
http://dbpedia.org/resource/Senegal,low,low,3
http://dbpedia.org/resource/Serbia,high,high,0
http://dbpedia.org/resource/Seychelles,low,high,3
http://dbpedia.org/resource/Sierra_Leone,low,high,3
http://dbpedia.org/resource/Singapore,high,high,1
http://dbpedia.org/resource/Slovak_Republic,high,low,0
http://dbpedia.org/resource/Slovenia,high,low,0
http://dbpedia.org/resource/Solomon_Islands,low,high,4
http://dbpedia.org/resource/South_Africa,high,high,3
http://dbpedia.org/resource/Spain,high,low,0
http://dbpedia.org/resource/Sri_Lanka,high,high,1
http://dbpedia.org/resource/St._Kitts_and_Nevis,low,low,2
http://dbpedia.org/resource/St._Lucia,low,high,2
http://dbpedia.org/resource/St._Vincent_and_the_Grenadines,low,low,2
http://dbpedia.org/resource/Sudan,low,high,3
http://dbpedia.org/resource/Suriname,low,high,2
http://dbpedia.org/resource/Swaziland,low,high,3
http://dbpedia.org/resource/Sweden,high,low,0
http://dbpedia.org/resource/Switzerland,high,low,0
http://dbpedia.org/resource/Syrian_Arab_Republic,high,high,1
http://dbpedia.org/resource/Tajikistan,low,high,1
http://dbpedia.org/resource/Tanzania,high,high,3
http://dbpedia.org/resource/Thailand,high,low,1
http://dbpedia.org/resource/Togo,low,low,3
http://dbpedia.org/resource/Tonga,low,low,4
http://dbpedia.org/resource/Trinidad_and_Tobago,low,high,2
http://dbpedia.org/resource/Tunisia,high,high,3
http://dbpedia.org/resource/Turkey,high,high,1
http://dbpedia.org/resource/Uganda,high,high,3
http://dbpedia.org/resource/Ukraine,high,low,0
http://dbpedia.org/resource/United_Arab_Emirates,high,low,1
http://dbpedia.org/resource/United_Kingdom,high,low,0
http://dbpedia.org/resource/United_States,high,low,2
