FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
1051.0	University of Alabama	AL	I	605	447	382.0	463.0	746	563	483.0	580.0	267.0	206.0	206.0	76.0	762.0	http://dbpedia.org/resource/University_of_Alabama	medium	medium	19.0
1052.0	University of Alabama at Birmingham	AL	I	633	445	366.0	461.0	786	569	475.0	587.0	106.0	163.0	107.0	19.0	406.0	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	medium	medium	20.0
8310.0	Auburn University at Montgomery	AL	IIA	519	422	343.0	403.0	621	507	411.0	483.0	56.0	54.0	63.0	28.0	201.0	http://dbpedia.org/resource/Auburn_Montgomery	medium	medium	23.0
1085.0	University of Arkansas at Monticello	AR	IIB	453	363	330.0	349.0	561	448	402.0	428.0	23.0	24.0	48.0	22.0	117.0	http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	low	low	24.0
1090.0	Arkansas State University	AR	IIA	520	433	342.0	398.0	646	541	431.0	498.0	103.0	87.0	141.0	63.0	394.0	http://dbpedia.org/resource/Arkansas_State_University	medium	medium	28.0
1092.0	University of Central Arkansas	AR	IIA	521	416	339.0	395.0	632	507	416.0	482.0	93.0	89.0	82.0	76.0	340.0	http://dbpedia.org/resource/University_of_Central_Arkansas	medium	medium	29.0
1099.0	Hendrix College	AR	IIB	485	399	362.0	421.0	664	534	453.0	562.0	24.0	26.0	14.0	1.0	65.0	http://dbpedia.org/resource/Hendrix_College	medium	medium	32.0
1102.0	Ouachita Baptist University	AR	IIB	422	355	289.0	342.0	529	445	375.0	435.0	36.0	14.0	28.0	19.0	97.0	http://dbpedia.org/resource/Ouachita_Baptist_University	low	low	35.0
1107.0	Southern Arkansas University	AR	IIA	461	389	321.0	362.0	575	484	402.0	453.0	27.0	31.0	34.0	23.0	115.0	http://dbpedia.org/resource/Southern_Arkansas_University	medium	medium	37.0
1117.0	Azusa Pacific University	CA	IIA	430	375	318.0	368.0	573	494	428.0	488.0	43.0	62.0	32.0	12.0	156.0	http://dbpedia.org/resource/Azusa_Pacific_University	medium	medium	44.0
1122.0	Biola University	CA	IIA	455	369	303.0	370.0	582	462	371.0	464.0	32.0	57.0	31.0	6.0	126.0	http://dbpedia.org/resource/Biola_University	medium	medium	45.0
1131.0	California Institute of Technology	CA	I	970	733	576.0	866.0	1204	909	717.0	1075.0	173.0	40.0	44.0	0.0	257.0	http://dbpedia.org/resource/California_Institute_of_Technology	high	high	46.0
1137.0	California State University-Fullerton	CA	IIA	605	493	387.0	544.0	760	637	506.0	690.0	393.0	120.0	105.0	5.0	623.0	http://dbpedia.org/resource/California_State_University,_Fullerton	high	high	47.0
1146.0	California State University-Chico	CA	IIA	604	482	395.0	558.0	758	631	518.0	707.0	413.0	86.0	73.0	2.0	574.0	http://dbpedia.org/resource/California_State_University,_Chico	high	high	51.0
1149.0	Humboldt State University	CA	IIA	593	468	387.0	543.0	746	603	507.0	688.0	213.0	38.0	50.0	0.0	301.0	http://dbpedia.org/resource/Humboldt_State_University	high	high	53.0
1172.0	Pitzer College	CA	IIB	652	439	381.0	547.0	824	572	482.0	695.0	31.0	10.0	13.0	0.0	54.0	http://dbpedia.org/resource/Pitzer_College	high	high	60.0
1238.0	Mills College	CA	IIA	593	461	407.0	492.0	737	571	507.0	612.0	28.0	16.0	23.0	2.0	70.0	http://dbpedia.org/resource/Mills_College	medium	high	66.0
1258.0	Pacific Union College	CA	IIB	362	333	315.0	336.0	441	398	376.0	403.0	40.0	17.0	41.0	4.0	102.0	http://dbpedia.org/resource/Pacific_Union_College	low	low	68.0
1302.0	Saint Mary's College of California	CA	IIA	614	494	404.0	500.0	754	616	497.0	618.0	38.0	55.0	42.0	0.0	135.0	http://dbpedia.org/resource/Saint_Mary's_College_of_California	high	high	71.0
1305.0	Stanford University	CA	I	952	658	519.0	824.0	1144	814	653.0	1000.0	533.0	139.0	145.0	0.0	834.0	http://dbpedia.org/resource/Stanford_University	high	high	72.0
1313.0	University of California-Davis	CA	I	683	478	404.0	561.0	840	588	496.0	689.0	535.0	190.0	234.0	0.0	1072.0	http://dbpedia.org/resource/University_of_California,_Davis	high	high	74.0
1319.0	University of California-San Francisco	CA	I	624	449	380.0	520.0	767	552	467.0	639.0	154.0	83.0	74.0	0.0	314.0	http://dbpedia.org/resource/University_of_California,_San_Francisco	high	high	79.0
1320.0	University of California-Santa Barbara	CA	I	712	473	401.0	578.0	875	581	493.0	711.0	371.0	125.0	145.0	0.0	694.0	http://dbpedia.org/resource/University_of_California,_Santa_Barbara	high	high	80.0
1321.0	University of California-Santa Cruz	CA	I	677	464	391.0	537.0	832	570	481.0	660.0	186.0	93.0	92.0	0.0	413.0	http://dbpedia.org/resource/University_of_California,_Santa_Cruz	high	high	81.0
1345.0	Adams State College	CO	IIA	436	356	321.0	360.0	527	444	400.0	444.0	29.0	21.0	40.0	8.0	98.0	http://dbpedia.org/resource/Adams_State_College	medium	low	93.0
1349.0	University of Northern Colorado	CO	I	480	390	333.0	385.0	565	463	399.0	458.0	151.0	111.0	129.0	35.0	467.0	http://dbpedia.org/resource/University_of_Northern_Colorado	medium	medium	95.0
1350.0	Colorado State University	CO	I	598	447	403.0	517.0	714	534	481.0	617.0	483.0	255.0	188.0	0.0	926.0	http://dbpedia.org/resource/Colorado_State_University	high	high	96.0
1363.0	Regis University	CO	IIB	489	434	349.0	424.0	626	531	428.0	527.0	16.0	26.0	12.0	2.0	56.0	http://dbpedia.org/resource/Regis_University	medium	medium	99.0
1370.0	University of Colorado- Boulder	CO	I	652	494	421.0	528.0	797	615	519.0	649.0	457.0	301.0	227.0	93.0	1081.0	http://dbpedia.org/resource/University_of_Colorado_at_Boulder	high	high	100.0
1397.0	University of New Haven	CT	IIA	524	450	401.0	471.0	656	576	513.0	596.0	72.0	44.0	30.0	1.0	152.0	http://dbpedia.org/resource/University_of_New_Haven	medium	high	107.0
1402.0	Quinnipiac College	CT	IIA	697	540	412.0	553.0	877	686	531.0	701.0	82.0	51.0	64.0	10.0	207.0	http://dbpedia.org/resource/Quinnipiac_University	high	high	108.0
1429.0	Goldey Beacom College	DE	IIB	492	405	?	417.0	613	511	?	528.0	8.0	14.0	3.0	1.0	26.0	http://dbpedia.org/resource/Goldey%E2%80%93Beacom_College	medium	medium	124.0
1433.0	Wesley College	DE	IIB	448	373	334.0	376.0	565	449	396.0	456.0	14.0	12.0	22.0	1.0	49.0	http://dbpedia.org/resource/Wesley_College_(Victoria)	medium	medium	126.0
1515.0	Rollins College	FL	IIA	542	420	321.0	457.0	678	519	378.0	564.0	78.0	43.0	26.0	7.0	154.0	http://dbpedia.org/resource/Rollins_College	medium	medium	134.0
3955.0	University of West Florida	FL	IIA	489	391	350.0	390.0	636	505	458.0	507.0	59.0	65.0	75.0	22.0	221.0	http://dbpedia.org/resource/University_of_West_Florida	medium	medium	140.0
8849.0	Palm Beach Atlantic College	FL	IIB	413	369	333.0	348.0	491	451	390.0	412.0	11.0	14.0	28.0	13.0	66.0	http://dbpedia.org/resource/Palm_Beach_Atlantic_University	low	low	141.0
1544.0	Albany State College	GA	IIB	444	395	335.0	371.0	578	519	437.0	484.0	38.0	24.0	68.0	8.0	138.0	http://dbpedia.org/resource/Albany_State_University	medium	medium	144.0
1554.0	Berry College	GA	IIB	515	403	343.0	399.0	650	519	439.0	509.0	25.0	20.0	38.0	3.0	92.0	http://dbpedia.org/resource/Berry_College	medium	medium	146.0
1566.0	Fort Valley State College	GA	IIB	471	382	339.0	379.0	596	490	439.0	487.0	37.0	39.0	49.0	17.0	142.0	http://dbpedia.org/resource/Fort_Valley_State_University	medium	medium	149.0
1572.0	Georgia Southern University	GA	IIA	495	408	328.0	363.0	623	509	407.0	453.0	105.0	135.0	254.0	109.0	603.0	http://dbpedia.org/resource/Georgia_Southern_University	medium	medium	151.0
1574.0	Georgia State University	GA	I	666	474	390.0	502.0	817	594	493.0	624.0	258.0	254.0	241.0	40.0	793.0	http://dbpedia.org/resource/Georgia_State_University	high	high	152.0
1598.0	University of Georgia	GA	I	619	444	378.0	489.0	768	553	464.0	607.0	650.0	552.0	391.0	64.0	1658.0	http://dbpedia.org/resource/University_of_Georgia	medium	high	155.0
1599.0	Valdosta State University	GA	IIA	477	386	344.0	390.0	603	496	445.0	500.0	88.0	90.0	114.0	19.0	311.0	http://dbpedia.org/resource/Valdosta_State_University	medium	medium	156.0
1601.0	West Georgia College	GA	IIA	466	391	353.0	392.0	595	502	454.0	502.0	98.0	50.0	97.0	27.0	272.0	http://dbpedia.org/resource/University_of_West_Georgia	medium	medium	157.0
3484.0	Covenant College	GA	IIB	429	371	312.0	388.0	519	492	390.0	484.0	19.0	12.0	6.0	1.0	38.0	http://dbpedia.org/resource/Covenant_College	medium	medium	159.0
1850.0	Central University of Iowa	IA	IIB	464	413	334.0	395.0	572	507	405.0	483.0	23.0	36.0	22.0	8.0	89.0	http://dbpedia.org/resource/Central_College_(Iowa)	medium	medium	164.0
1874.0	Luther College	IA	IIB	478	399	347.0	404.0	630	548	445.0	531.0	63.0	26.0	50.0	16.0	155.0	http://dbpedia.org/resource/Luther_College_(Iowa)	medium	medium	175.0
1890.0	University of Northern Iowa	IA	IIA	586	469	390.0	447.0	730	591	491.0	561.0	155.0	152.0	226.0	89.0	622.0	http://dbpedia.org/resource/University_of_Northern_Iowa	medium	medium	182.0
1892.0	University of Iowa	IA	I	706	509	432.0	579.0	872	643	549.0	723.0	486.0	308.0	260.0	10.0	1064.0	http://dbpedia.org/resource/University_of_Iowa	high	high	184.0
1893.0	Upper Iowa University	IA	IIB	*	*	287.0	303.0	*	*	348.0	366.0	4.0	5.0	6.0	12.0	27.0	http://dbpedia.org/resource/Upper_Iowa_University	low	low	185.0
1896.0	Wartburg College	IA	IIB	447	370	308.0	358.0	564	469	385.0	451.0	25.0	21.0	29.0	4.0	89.0	http://dbpedia.org/resource/Wartburg_College	medium	medium	186.0
1635.0	Barat College	IL	IIB	507	405	333.0	402.0	599	473	394.0	474.0	9.0	9.0	14.0	0.0	32.0	http://dbpedia.org/resource/Barat_College	medium	medium	196.0
1641.0	Bradley University	IL	IIA	570	464	378.0	442.0	679	562	449.0	529.0	75.0	88.0	100.0	30.0	295.0	http://dbpedia.org/resource/Bradley_University	medium	medium	198.0
1674.0	Eastern Illinois University	IL	IIA	442	373	333.0	364.0	515	438	393.0	428.0	190.0	161.0	120.0	87.0	560.0	http://dbpedia.org/resource/Eastern_Illinois_University	medium	low	202.0
1678.0	Eureka College	IL	IIB	*	370	315.0	355.0	*	458	390.0	438.0	5.0	16.0	16.0	0.0	37.0	http://dbpedia.org/resource/Eureka_College	medium	low	203.0
1700.0	Judson College	IL	IIB	400	358	305.0	358.0	486	445	366.0	438.0	10.0	12.0	6.0	1.0	29.0	http://dbpedia.org/resource/Judson_College_(Alabama)	medium	low	210.0
1706.0	Lake Forest College	IL	IIB	644	475	402.0	495.0	843	650	543.0	662.0	26.0	22.0	24.0	5.0	81.0	http://dbpedia.org/resource/Lake_Forest_College	medium	high	213.0
1710.0	Loyola University of Chicago	IL	I	761	536	433.0	570.0	924	664	536.0	701.0	164.0	230.0	163.0	6.0	563.0	http://dbpedia.org/resource/Loyola_University_Chicago	high	high	215.0
1717.0	MacMurray College	IL	IIB	324	263	250.0	262.0	393	334	307.0	318.0	13.0	9.0	16.0	31.0	69.0	http://dbpedia.org/resource/MacMurray_College	low	low	216.0
1733.0	National-Louis University	IL	IIA	490	405	337.0	348.0	566	472	394.0	405.0	20.0	51.0	120.0	23.0	253.0	http://dbpedia.org/resource/National_Louis_University	low	low	220.0
1737.0	Northern Illinois University	IL	I	578	435	375.0	440.0	667	509	443.0	515.0	314.0	266.0	246.0	112.0	944.0	http://dbpedia.org/resource/Northern_Illinois_University	medium	medium	223.0
1745.0	Quincy University	IL	IIB	372	371	285.0	345.0	459	462	351.0	427.0	18.0	21.0	14.0	2.0	55.0	http://dbpedia.org/resource/Quincy_University	low	low	227.0
1768.0	Saint Xavier University	IL	IIA	551	452	388.0	439.0	667	548	471.0	531.0	22.0	78.0	53.0	6.0	159.0	http://dbpedia.org/resource/Saint_Xavier_University	medium	medium	231.0
1774.0	University of Chicago	IL	I	894	586	515.0	742.0	1104	724	636.0	916.0	467.0	138.0	161.0	36.0	802.0	http://dbpedia.org/resource/University_of_Chicago	high	high	233.0
9333.0	Sangamon State University	IL	IIA	499	437	370.0	433.0	594	516	447.0	516.0	50.0	62.0	46.0	5.0	163.0	http://dbpedia.org/resource/University_of_Illinois_at_Springfield	medium	medium	238.0
1793.0	Earlham College	IN	IIB	514	394	338.0	445.0	639	483	414.0	551.0	44.0	13.0	22.0	0.0	79.0	http://dbpedia.org/resource/Earlham_College	medium	medium	244.0
1795.0	University of Evansville	IN	IIA	500	415	351.0	414.0	602	505	415.0	496.0	57.0	43.0	58.0	4.0	170.0	http://dbpedia.org/resource/University_of_Evansville	medium	medium	245.0
1803.0	Huntington College	IN	IIB	438	367	305.0	358.0	544	455	379.0	444.0	11.0	11.0	13.0	3.0	38.0	http://dbpedia.org/resource/Huntington_University_(Canada)	medium	low	249.0
1809.0	Indiana University of-Bloomington	IN	I	674	479	399.0	540.0	852	615	507.0	685.0	624.0	344.0	305.0	1.0	1361.0	http://dbpedia.org/resource/Indiana_University_Bloomington	high	high	252.0
1839.0	Tri-State University	IN	IIB	395	324	291.0	340.0	485	395	356.0	415.0	23.0	28.0	10.0	3.0	64.0	http://dbpedia.org/resource/Trine_University	low	low	266.0
1840.0	University of Notre Dame	IN	I	798	562	470.0	637.0	985	701	573.0	787.0	274.0	195.0	164.0	11.0	644.0	http://dbpedia.org/resource/University_of_Notre_Dame	high	high	267.0
1933.0	McPherson College	KS	IIB	318	274	254.0	272.0	397	353	313.0	342.0	7.0	16.0	11.0	3.0	37.0	http://dbpedia.org/resource/McPherson_College	low	low	279.0
1937.0	Ottawa University	KS	IIB	338	292	264.0	284.0	410	348	309.0	338.0	13.0	12.0	22.0	8.0	55.0	http://dbpedia.org/resource/Ottawa_University	low	low	280.0
1940.0	Southwestern College	KS	IIB	340	318	278.0	311.0	415	388	341.0	380.0	16.0	10.0	10.0	3.0	39.0	http://dbpedia.org/resource/Southwestern_College_(Kansas)	low	low	281.0
1943.0	Saint Mary College	KS	IIB	336	301	261.0	282.0	390	358	313.0	335.0	10.0	11.0	15.0	5.0	43.0	http://dbpedia.org/resource/St_Mary's_College,_Auckland	low	low	282.0
1946.0	Tabor College	KS	IIB	304	*	222.0	257.0	385	*	282.0	326.0	8.0	5.0	8.0	3.0	24.0	http://dbpedia.org/resource/Tabor_College_(Kansas)	low	low	283.0
1948.0	University of Kansas	KS	I	579	422	367.0	485.0	714	529	458.0	603.0	474.0	297.0	204.0	6.0	981.0	http://dbpedia.org/resource/University_of_Kansas	medium	high	284.0
10256.0	Benedictine College	KS	IIB	335	316	278.0	296.0	374	368	327.0	342.0	11.0	16.0	16.0	7.0	50.0	http://dbpedia.org/resource/Benedictine_College	low	low	288.0
1961.0	Centre College	KY	IIB	521	418	351.0	431.0	653	514	423.0	532.0	27.0	21.0	21.0	4.0	73.0	http://dbpedia.org/resource/Centre_College	medium	medium	294.0
1964.0	Georgetown College	KY	IIB	398	338	297.0	343.0	493	418	352.0	420.0	29.0	18.0	19.0	6.0	72.0	http://dbpedia.org/resource/Georgetown_College_(Kentucky)	low	low	297.0
1968.0	Kentucky State University	KY	IIB	460	403	329.0	377.0	576	505	416.0	474.0	26.0	35.0	52.0	5.0	118.0	http://dbpedia.org/resource/Kentucky_State_University	medium	medium	298.0
1969.0	Kentucky Wesleyan College	KY	IIB	383	326	292.0	327.0	474	404	358.0	405.0	17.0	18.0	11.0	5.0	51.0	http://dbpedia.org/resource/Kentucky_Wesleyan_College	low	low	299.0
1976.0	Morehead State University	KY	IIA	478	395	322.0	373.0	600	498	410.0	472.0	87.0	89.0	123.0	37.0	336.0	http://dbpedia.org/resource/Morehead_State_University	medium	medium	301.0
1989.0	University of Kentucky	KY	I	634	473	418.0	521.0	760	574	504.0	628.0	470.0	416.0	308.0	6.0	1200.0	http://dbpedia.org/resource/University_of_Kentucky	high	high	306.0
2002.0	Western Kentucky University	KY	IIA	485	408	347.0	413.0	613	517	442.0	524.0	223.0	135.0	144.0	43.0	553.0	http://dbpedia.org/resource/Western_Kentucky_University	medium	medium	309.0
2007.0	Louisiana College	LA	IIB	375	324	308.0	338.0	484	427	401.0	440.0	25.0	13.0	18.0	4.0	60.0	http://dbpedia.org/resource/Louisiana_College	low	low	314.0
2015.0	University of New Orleans	LA	IIA	512	378	352.0	404.0	609	453	423.0	483.0	199.0	128.0	116.0	67.0	510.0	http://dbpedia.org/resource/University_of_New_Orleans	medium	medium	316.0
2115.0	Amherst College	MA	IIB	726	516	425.0	610.0	917	661	546.0	774.0	87.0	23.0	43.0	0.0	153.0	http://dbpedia.org/resource/Amherst_College	high	high	322.0
2118.0	Assumption College	MA	IIB	479	400	325.0	385.0	610	518	413.0	492.0	22.0	42.0	40.0	3.0	107.0	http://dbpedia.org/resource/Assumption_College	medium	medium	324.0
2141.0	College of the Holy Cross	MA	IIB	695	506	406.0	519.0	875	627	500.0	644.0	44.0	84.0	54.0	4.0	186.0	http://dbpedia.org/resource/College_of_the_Holy_Cross	high	high	333.0
2158.0	Lasell College	MA	IIB	*	336	322.0	320.0	*	403	389.0	387.0	3.0	7.0	13.0	4.0	27.0	http://dbpedia.org/resource/Lasell_College	low	low	337.0
2211.0	Springfield College	MA	IIA	520	404	321.0	376.0	643	501	399.0	467.0	34.0	45.0	78.0	17.0	174.0	http://dbpedia.org/resource/Springfield_College_(Massachusetts)	medium	medium	349.0
2226.0	Western New England College	MA	IIA	659	497	437.0	543.0	823	632	545.0	682.0	54.0	42.0	29.0	6.0	131.0	http://dbpedia.org/resource/Western_New_England_University	high	high	355.0
2233.0	Worcester Polytechnic Institute	MA	IIA	659	527	451.0	546.0	842	680	557.0	693.0	75.0	70.0	58.0	4.0	212.0	http://dbpedia.org/resource/Worcester_Polytechnic_Institute	high	high	359.0
2091.0	Salisbury State University	MD	IIA	543	445	357.0	404.0	679	562	458.0	513.0	54.0	63.0	78.0	8.0	240.0	http://dbpedia.org/resource/Salisbury_University	medium	medium	370.0
2102.0	University of Baltimore	MD	IIA	680	560	490.0	582.0	833	693	612.0	719.0	62.0	50.0	54.0	0.0	166.0	http://dbpedia.org/resource/University_of_Baltimore	high	high	374.0
2108.0	Washington College	MD	IIB	496	419	348.0	443.0	637	532	421.0	562.0	33.0	12.0	15.0	0.0	60.0	http://dbpedia.org/resource/Washington_College	medium	medium	376.0
2109.0	Western Maryland College	MD	IIB	477	379	313.0	412.0	612	489	400.0	530.0	36.0	30.0	10.0	3.0	79.0	http://dbpedia.org/resource/McDaniel_College	medium	medium	377.0
2033.0	University of Maine at Presque Isl	ME	IIB	439	354	302.0	343.0	562	453	389.0	440.0	15.0	19.0	25.0	4.0	67.0	http://dbpedia.org/resource/University_of_Maine_at_Presque_Isle	low	low	378.0
2036.0	Bates College	ME	IIB	671	490	404.0	518.0	824	600	494.0	635.0	45.0	31.0	45.0	6.0	127.0	http://dbpedia.org/resource/Bates_College	high	high	379.0
2053.0	University of Maine at Orono	ME	I	574	436	366.0	449.0	716	552	463.0	566.0	122.0	197.0	102.0	19.0	452.0	http://dbpedia.org/resource/University_of_Maine	medium	medium	388.0
2055.0	University of Maine at Machias	ME	IIB	465	355	284.0	360.0	582	459	366.0	462.0	7.0	24.0	8.0	0.0	39.0	http://dbpedia.org/resource/University_of_Maine_at_Machias	medium	medium	389.0
2234.0	Adrian College	MI	IIB	439	365	316.0	386.0	559	466	407.0	493.0	37.0	8.0	14.0	7.0	66.0	http://dbpedia.org/resource/Adrian_College	medium	medium	391.0
2235.0	Albion College	MI	IIB	562	443	346.0	462.0	716	573	437.0	589.0	47.0	27.0	33.0	2.0	109.0	http://dbpedia.org/resource/Albion_College	medium	medium	392.0
2236.0	Alma College	MI	IIB	523	408	335.0	422.0	645	515	423.0	527.0	25.0	27.0	21.0	2.0	75.0	http://dbpedia.org/resource/Alma_College	medium	medium	393.0
2243.0	Central Michigan University	MI	IIA	588	460	397.0	490.0	768	612	534.0	648.0	230.0	191.0	137.0	23.0	581.0	http://dbpedia.org/resource/Central_Michigan_University	medium	high	396.0
2259.0	Eastern Michigan University	MI	IIA	560	447	389.0	462.0	722	590	519.0	605.0	318.0	171.0	160.0	17.0	729.0	http://dbpedia.org/resource/Eastern_Michigan_University	medium	high	398.0
2273.0	Hope College	MI	IIB	515	420	350.0	443.0	681	559	455.0	585.0	70.0	49.0	38.0	2.0	159.0	http://dbpedia.org/resource/Hope_College	medium	medium	400.0
2318.0	Spring Arbor College	MI	IIB	368	321	284.0	320.0	455	398	370.0	400.0	22.0	15.0	19.0	6.0	62.0	http://dbpedia.org/resource/Spring_Arbor_University	low	low	407.0
2329.0	Wayne State University	MI	I	683	525	447.0	535.0	846	664	560.0	669.0	317.0	267.0	216.0	8.0	925.0	http://dbpedia.org/resource/Wayne_State_University	high	high	410.0
2330.0	Western Michigan University	MI	I	603	489	396.0	502.0	755	620	505.0	633.0	285.0	233.0	189.0	24.0	731.0	http://dbpedia.org/resource/Western_Michigan_University	high	high	411.0
2334.0	Augsburg College	MN	IIB	432	356	314.0	357.0	559	449	387.0	450.0	35.0	29.0	58.0	1.0	123.0	http://dbpedia.org/resource/Augsburg_College	medium	medium	414.0
2343.0	College of St. Scholastica	MN	IIB	461	374	327.0	345.0	568	466	421.0	436.0	14.0	31.0	50.0	18.0	119.0	http://dbpedia.org/resource/The_College_of_St._Scholastica	low	low	419.0
2345.0	University of St. Thomas	MN	IIA	563	429	366.0	402.0	702	538	465.0	508.0	31.0	104.0	146.0	29.0	310.0	http://dbpedia.org/resource/University_of_St._Thomas_(Minnesota)	medium	medium	420.0
2367.0	Moorhead State University	MN	IIA	512	421	353.0	419.0	651	544	461.0	540.0	131.0	65.0	120.0	29.0	345.0	http://dbpedia.org/resource/Minnesota_State_University_Moorhead	medium	medium	426.0
2371.0	Northwestern College	MN	IIB	373	339	313.0	333.0	510	454	406.0	441.0	13.0	16.0	27.0	1.0	57.0	http://dbpedia.org/resource/Northwestern_College_(Minnesota)	low	low	427.0
2375.0	Southwest State University	MN	IIB	525	417	355.0	459.0	686	551	466.0	602.0	57.0	40.0	19.0	1.0	117.0	http://dbpedia.org/resource/Southwest_Minnesota_State_University	medium	high	428.0
2377.0	St. Cloud State University	MN	IIA	518	417	354.0	441.0	662	546	464.0	570.0	259.0	143.0	146.0	25.0	573.0	http://dbpedia.org/resource/St._Cloud_State_University	medium	medium	429.0
2379.0	St. John's University	MN	IIB	512	412	353.0	418.0	672	523	435.0	532.0	37.0	44.0	38.0	6.0	126.0	http://dbpedia.org/resource/St._John's_University_of_Tanzania	medium	medium	430.0
2382.0	St. Olaf College	MN	IIB	551	417	355.0	446.0	673	509	430.0	543.0	82.0	93.0	49.0	11.0	235.0	http://dbpedia.org/resource/St._Olaf_College	medium	medium	431.0
2394.0	Winona State University	MN	IIB	515	420	358.0	430.0	652	537	454.0	547.0	118.0	73.0	85.0	17.0	293.0	http://dbpedia.org/resource/Winona_State_University	medium	medium	434.0
3969.0	University of Minnesota-Twin Cities	MN	I	662	468	418.0	557.0	842	613	552.0	719.0	785.0	468.0	271.0	12.0	1538.0	http://dbpedia.org/resource/University_of_Minnesota	high	high	435.0
9058.0	Bethel College	MN	IIB	430	356	313.0	375.0	597	464	404.0	503.0	43.0	48.0	12.0	7.0	110.0	http://dbpedia.org/resource/Bethel_College_(Kansas)	medium	medium	436.0
2456.0	Columbia College	MO	IIB	362	307	273.0	299.0	437	375	336.0	364.0	10.0	11.0	22.0	3.0	46.0	http://dbpedia.org/resource/Columbia_College_Chicago	low	low	439.0
2488.0	Missouri Southern State Coll	MO	IIB	489	406	349.0	389.0	592	496	430.0	476.0	42.0	50.0	67.0	28.0	187.0	http://dbpedia.org/resource/Missouri_Southern_State_University	medium	medium	444.0
2512.0	Stephens College	MO	IIB	*	*	?	282.0	*	*	?	364.0	0.0	0.0	0.0	0.0	62.0	http://dbpedia.org/resource/Stephens_College	low	low	451.0
2403.0	Delta State University	MS	IIA	400	337	314.0	337.0	487	413	386.0	413.0	60.0	32.0	47.0	36.0	175.0	http://dbpedia.org/resource/Delta_State_University	low	low	464.0
2423.0	Mississippi State University	MS	I	540	432	389.0	455.0	649	521	471.0	548.0	278.0	191.0	155.0	40.0	669.0	http://dbpedia.org/resource/Mississippi_State_University	medium	medium	467.0
2906.0	Appalachian State University	NC	IIA	491	413	366.0	424.0	598	505	448.0	518.0	249.0	117.0	113.0	19.0	545.0	http://dbpedia.org/resource/Appalachian_State_University	medium	medium	477.0
2923.0	East Carolina University	NC	IIA	554	430	377.0	415.0	672	525	462.0	507.0	189.0	187.0	261.0	11.0	792.0	http://dbpedia.org/resource/East_Carolina_University	medium	medium	485.0
2929.0	Gardner-Webb University	NC	IIB	348	305	294.0	312.0	414	357	349.0	371.0	39.0	7.0	26.0	15.0	87.0	http://dbpedia.org/resource/Gardner%E2%80%93Webb_University	low	low	487.0
