FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	DBpedia_URL	label_salary	label_comp	id
1106.0	Williams Baptist College	AR	IIB	*	*	264.0	266.0	*	*	327.0	331.0	4.0	4.0	12.0	4.0	24.0	http://dbpedia.org/resource/Williams_Baptist_College	low	low	36.0
1108.0	University of Arkansas-Fayetteville	AR	I	563	436	379.0	452.0	686	531	461.0	550.0	314.0	198.0	225.0	54.0	806.0	http://dbpedia.org/resource/University_of_Arkansas	medium	medium	38.0
10311.0	Harding University	AR	IIB	424	374	335.0	380.0	512	461	401.0	460.0	80.0	46.0	41.0	8.0	179.0	http://dbpedia.org/resource/Harding_University_High_School	medium	medium	39.0
1074.0	Grand Canyon University	AZ	IIB	358	328	274.0	299.0	439	395	332.0	363.0	20.0	18.0	24.0	12.0	74.0	http://dbpedia.org/resource/Grand_Canyon_University	low	low	40.0
1081.0	Arizona State University	AZ	I	603	449	399.0	489.0	723	549	489.0	593.0	576.0	445.0	251.0	7.0	1383.0	http://dbpedia.org/resource/Arizona_State_University	medium	medium	41.0
1082.0	Northern Arizona University	AZ	I	511	422	359.0	412.0	619	518	446.0	507.0	173.0	192.0	175.0	33.0	608.0	http://dbpedia.org/resource/Northern_Arizona_University	medium	medium	42.0
1083.0	University of Arizona	AZ	I	648	462	411.0	537.0	771	561	498.0	645.0	647.0	377.0	272.0	2.0	1349.0	http://dbpedia.org/resource/University_of_Arizona	high	high	43.0
1138.0	California State University-Hayward	CA	IIA	606	491	384.0	552.0	762	629	503.0	699.0	258.0	69.0	49.0	7.0	383.0	http://dbpedia.org/resource/California_State_University,_East_Bay	high	high	48.0
1139.0	California State University-Long Beach	CA	IIA	600	474	401.0	542.0	751	610	521.0	685.0	491.0	171.0	112.0	6.0	780.0	http://dbpedia.org/resource/California_State_University,_Long_Beach	high	high	49.0
1141.0	California State University-Dominguez Hills	CA	IIA	605	472	392.0	548.0	759	606	593.0	705.0	178.0	52.0	37.0	1.0	268.0	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	high	high	50.0
1147.0	California State University-Fresno	CA	IIA	603	476	382.0	553.0	757	612	500.0	699.0	459.0	109.0	67.0	14.0	649.0	http://dbpedia.org/resource/California_State_University,_Fresno	high	high	52.0
1151.0	San Diego State University	CA	IIA	602	479	403.0	547.0	756	615	524.0	693.0	576.0	223.0	100.0	10.0	909.0	http://dbpedia.org/resource/San_Diego_State_University	high	high	54.0
1155.0	San Jose State University	CA	IIA	598	486	404.0	528.0	750	623	526.0	669.0	431.0	222.0	158.0	8.0	819.0	http://dbpedia.org/resource/San_Jose_State_University	high	high	55.0
1156.0	Sonoma State University	CA	IIA	602	459	380.0	553.0	755	592	497.0	699.0	170.0	34.0	29.0	0.0	233.0	http://dbpedia.org/resource/Sonoma_State_University	high	high	56.0
1164.0	Chapman University	CA	IIA	578	470	420.0	491.0	763	627	573.0	656.0	38.0	37.0	36.0	0.0	111.0	http://dbpedia.org/resource/Chapman_University	medium	high	57.0
1170.0	Claremont McKenna College	CA	IIB	716	516	411.0	601.0	892	661	510.0	751.0	36.0	16.0	12.0	2.0	67.0	http://dbpedia.org/resource/Claremont_McKenna_College	high	high	58.0
1171.0	Harvey Mudd College	CA	IIB	771	579	454.0	638.0	961	739	588.0	805.0	34.0	14.0	20.0	0.0	68.0	http://dbpedia.org/resource/Harvey_Mudd_College	high	high	59.0
1173.0	Pomona College	CA	IIB	730	525	417.0	566.0	909	658	530.0	708.0	60.0	52.0	40.0	7.0	161.0	http://dbpedia.org/resource/Pomona_College	high	high	61.0
1174.0	Scripps College	CA	IIB	611	458	372.0	511.0	776	588	495.0	658.0	28.0	10.0	15.0	1.0	54.0	http://dbpedia.org/resource/Scripps_College	high	high	62.0
1179.0	College of Notre Dame	CA	IIB	524	421	374.0	448.0	630	503	443.0	535.0	25.0	16.0	15.0	3.0	59.0	http://dbpedia.org/resource/Notre_Dame_of_Maryland_University	medium	medium	63.0
1183.0	Holy Names College	CA	IIB	484	394	275.0	368.0	542	443	311.0	413.0	10.0	22.0	18.0	1.0	51.0	http://dbpedia.org/resource/Holy_Names_University	medium	low	64.0
1216.0	University of La Verne	CA	IIA	482	392	326.0	401.0	602	478	396.0	494.0	41.0	28.0	41.0	0.0	110.0	http://dbpedia.org/resource/University_of_La_Verne	medium	medium	65.0
1249.0	Occidental College	CA	IIB	624	469	388.0	490.0	806	593	482.0	621.0	49.0	42.0	33.0	15.0	139.0	http://dbpedia.org/resource/Occidental_College	medium	high	67.0
1262.0	Point Loma Nazarene College	CA	IIB	507	393	358.0	429.0	637	523	468.0	549.0	43.0	21.0	23.0	7.0	94.0	http://dbpedia.org/resource/Point_Loma_Nazarene_University	medium	medium	69.0
1264.0	Pepperdine University	CA	IIA	715	561	511.0	637.0	930	737	645.0	829.0	130.0	72.0	22.0	7.0	231.0	http://dbpedia.org/resource/Pepperdine_University	high	high	70.0
1312.0	University of California-Berkeley	CA	I	764	513	433.0	650.0	939	631	533.0	799.0	834.0	229.0	209.0	0.0	1346.0	http://dbpedia.org/resource/University_of_California,_Berkeley	high	high	73.0
1314.0	University of California-Irvine	CA	I	708	488	423.0	574.0	870	599	520.0	705.0	319.0	161.0	138.0	0.0	673.0	http://dbpedia.org/resource/University_of_California,_Irvine	high	high	75.0
1315.0	University of California-Los Angeles	CA	I	741	497	421.0	609.0	910	611	517.0	748.0	817.0	267.0	298.0	0.0	1499.0	http://dbpedia.org/resource/University_of_California,_Los_Angeles	high	high	76.0
1316.0	University of California-Riverside	CA	I	670	461	390.0	514.0	824	567	479.0	632.0	183.0	80.0	140.0	0.0	441.0	http://dbpedia.org/resource/University_of_California,_Riverside	high	high	77.0
1317.0	University of California-San Diego	CA	I	723	487	401.0	595.0	888	598	493.0	732.0	405.0	147.0	130.0	0.0	734.0	http://dbpedia.org/resource/University_of_California,_San_Diego	high	high	78.0
1322.0	University of Redlands	CA	IIA	566	468	406.0	488.0	716	592	495.0	610.0	49.0	19.0	39.0	0.0	109.0	http://dbpedia.org/resource/University_of_Redlands	medium	high	82.0
1325.0	University of San Francisco	CA	IIA	617	486	405.0	514.0	811	644	538.0	680.0	129.0	59.0	80.0	19.0	287.0	http://dbpedia.org/resource/University_of_San_Francisco	high	high	83.0
1326.0	Santa Clara University	CA	IIA	763	555	487.0	578.0	938	704	624.0	729.0	85.0	117.0	90.0	0.0	324.0	http://dbpedia.org/resource/Santa_Clara_University	high	high	84.0
1328.0	University of Southern California	CA	I	802	574	484.0	641.0	1016	751	636.0	825.0	485.0	354.0	286.0	27.0	1165.0	http://dbpedia.org/resource/University_of_Southern_California	high	high	85.0
1329.0	University of the Pacific	CA	IIA	542	420	372.0	459.0	666	528	468.0	570.0	172.0	92.0	100.0	10.0	377.0	http://dbpedia.org/resource/University_of_the_Pacific_(Peru)	medium	medium	86.0
1341.0	Westmont College	CA	IIB	489	408	339.0	415.0	616	524	429.0	526.0	30.0	19.0	22.0	3.0	74.0	http://dbpedia.org/resource/Westmont_College	medium	medium	87.0
1342.0	Whittier College	CA	IIA	666	499	347.0	531.0	808	601	416.0	642.0	48.0	27.0	24.0	9.0	108.0	http://dbpedia.org/resource/Whittier_College	high	high	88.0
1343.0	Woodbury University	CA	IIA	*	373	365.0	381.0	*	472	454.0	478.0	5.0	11.0	6.0	0.0	22.0	http://dbpedia.org/resource/Woodbury_University	medium	medium	89.0
7993.0	California State University-Bakersfield	CA	IIA	597	482	377.0	499.0	752	619	495.0	637.0	95.0	48.0	50.0	13.0	206.0	http://dbpedia.org/resource/California_State_University,_Bakersfield	medium	high	90.0
10395.0	University of San Diego	CA	IIA	719	533	452.0	575.0	904	678	569.0	725.0	105.0	72.0	76.0	12.0	265.0	http://dbpedia.org/resource/University_of_San_Diego	high	high	91.0
11649.0	Loyola Marymount University	CA	IIA	722	558	414.0	589.0	911	724	543.0	754.0	130.0	90.0	83.0	3.0	310.0	http://dbpedia.org/resource/Loyola_Marymount_University	high	high	92.0
1347.0	Colorado College	CO	IIB	613	488	398.0	525.0	776	621	509.0	665.0	63.0	38.0	26.0	1.0	134.0	http://dbpedia.org/resource/Colorado_College	high	high	94.0
1353.0	Fort Lewis College	CO	IIB	439	385	342.0	392.0	516	452	402.0	460.0	73.0	35.0	52.0	5.0	165.0	http://dbpedia.org/resource/Fort_Lewis_College	medium	medium	97.0
1358.0	Mesa State College	CO	IIB	429	353	297.0	340.0	508	427	363.0	410.0	49.0	31.0	37.0	7.0	145.0	http://dbpedia.org/resource/Colorado_Mesa_University	low	low	98.0
1371.0	University of Denver	CO	I	623	479	430.0	509.0	756	588	525.0	620.0	142.0	106.0	101.0	6.0	378.0	http://dbpedia.org/resource/University_of_Denver	high	high	101.0
1372.0	Western State College of Colo.	CO	IIB	452	381	324.0	402.0	546	460	406.0	490.0	52.0	25.0	26.0	0.0	103.0	http://dbpedia.org/resource/Western_State_College_of_Colorado	medium	medium	102.0
6740.0	University of Colorado at Denver	CO	IIA	596	453	408.0	467.0	726	561	508.0	576.0	106.0	108.0	119.0	35.0	368.0	http://dbpedia.org/resource/University_of_Colorado_Denver	medium	medium	103.0
1374.0	Albertus Magnus College	CT	IIB	391	343	?	340.0	444	400	?	393.0	9.0	7.0	5.0	3.0	24.0	http://dbpedia.org/resource/Albertus_Magnus_College	low	low	104.0
1379.0	Connecticut College	CT	IIB	619	461	366.0	499.0	810	613	477.0	654.0	63.0	35.0	30.0	11.0	140.0	http://dbpedia.org/resource/Connecticut_College	medium	high	105.0
1385.0	Fairfield University	CT	IIA	685	545	452.0	545.0	894	733	603.0	721.0	62.0	43.0	81.0	6.0	192.0	http://dbpedia.org/resource/Fairfield_University	high	high	106.0
1403.0	Sacred Heart University	CT	IIB	546	444	374.0	435.0	686	566	478.0	553.0	19.0	55.0	30.0	7.0	111.0	http://dbpedia.org/resource/Sacred_Heart_University	medium	medium	109.0
1409.0	Saint Joseph College	CT	IIA	548	451	360.0	430.0	654	544	432.0	517.0	8.0	34.0	22.0	1.0	65.0	http://dbpedia.org/resource/Saint_Joseph_College_(Connecticut)	medium	medium	110.0
1414.0	Trinity College	CT	IIB	706	501	394.0	550.0	901	650	494.0	704.0	57.0	49.0	32.0	0.0	146.0	http://dbpedia.org/resource/Trinity_College_(Connecticut)	high	high	111.0
1416.0	University of Bridgeport	CT	IIA	505	437	360.0	434.0	644	551	463.0	553.0	32.0	29.0	26.0	1.0	90.0	http://dbpedia.org/resource/University_of_Bridgeport	medium	medium	112.0
1422.0	University of Hartford	CT	IIA	529	445	380.0	439.0	660	566	492.0	558.0	76.0	131.0	111.0	3.0	329.0	http://dbpedia.org/resource/University_of_Hartford	medium	medium	113.0
1424.0	Wesleyan University	CT	IIA	734	504	423.0	597.0	936	641	539.0	761.0	128.0	57.0	66.0	0.0	254.0	http://dbpedia.org/resource/Wesleyan_University	high	high	114.0
1426.0	Yale University	CT	I	928	522	444.0	708.0	1127	643	548.0	863.0	404.0	118.0	191.0	6.0	767.0	http://dbpedia.org/resource/Yale_University	high	high	115.0
1434.0	American University	DC	I	746	520	417.0	555.0	897	641	505.0	673.0	165.0	119.0	125.0	37.0	446.0	http://dbpedia.org/resource/American_University	high	high	116.0
1437.0	Catholic University of America	DC	I	611	449	385.0	482.0	718	533	459.0	570.0	123.0	141.0	104.0	6.0	374.0	http://dbpedia.org/resource/The_Catholic_University_of_America	medium	medium	117.0
1443.0	Gallaudet University	DC	IIA	623	480	399.0	482.0	814	638	534.0	637.0	86.0	67.0	70.0	35.0	261.0	http://dbpedia.org/resource/Gallaudet_University	medium	high	118.0
1444.0	George Washington University	DC	I	729	542	447.0	610.0	874	653	536.0	733.0	316.0	175.0	134.0	12.0	637.0	http://dbpedia.org/resource/George_Washington_University	high	high	119.0
1445.0	Georgetown University	DC	I	857	552	427.0	618.0	1080	710	546.0	785.0	192.0	157.0	154.0	25.0	528.0	http://dbpedia.org/resource/Georgetown_University	high	high	120.0
1448.0	Howard University	DC	I	656	483	403.0	481.0	780	591	494.0	587.0	241.0	282.0	189.0	111.0	891.0	http://dbpedia.org/resource/Howard_University	medium	medium	121.0
1460.0	Trinity College	DC	IIB	457	362	293.0	350.0	536	435	349.0	415.0	12.0	12.0	21.0	2.0	47.0	http://dbpedia.org/resource/Trinity_College_(Connecticut)	medium	low	122.0
1428.0	Delaware State University	DE	IIA	545	435	359.0	379.0	716	583	491.0	515.0	29.0	47.0	61.0	34.0	183.0	http://dbpedia.org/resource/Delaware_State_University	medium	medium	123.0
1431.0	University of Delaware	DE	I	723	531	422.0	556.0	922	693	554.0	721.0	341.0	319.0	217.0	65.0	953.0	http://dbpedia.org/resource/University_of_Delaware	high	high	125.0
1466.0	Barry University	FL	IIA	488	420	350.0	394.0	598	508	424.0	477.0	39.0	77.0	84.0	15.0	215.0	http://dbpedia.org/resource/Barry_University	medium	medium	127.0
1468.0	St. Thomas University	FL	IIA	438	482	351.0	403.0	520	570	421.0	480.0	23.0	22.0	37.0	4.0	90.0	http://dbpedia.org/resource/St._Thomas_University_(Florida)	medium	medium	128.0
1480.0	Florida A & M University	FL	IIA	524	426	359.0	424.0	661	543	460.0	540.0	103.0	123.0	111.0	27.0	364.0	http://dbpedia.org/resource/Florida_A&M_University	medium	medium	129.0
1481.0	Florida Atlantic University	FL	IIA	580	426	394.0	461.0	750	559	517.0	601.0	183.0	147.0	159.0	30.0	528.0	http://dbpedia.org/resource/Florida_Atlantic_University	medium	high	130.0
1487.0	Eckerd College	FL	IIB	534	424	357.0	436.0	676	547	472.0	563.0	32.0	18.0	37.0	0.0	87.0	http://dbpedia.org/resource/Eckerd_College	medium	medium	131.0
1488.0	Florida Southern College	FL	IIB	440	369	331.0	369.0	552	473	409.0	463.0	30.0	18.0	44.0	4.0	96.0	http://dbpedia.org/resource/Florida_Southern_College	medium	medium	132.0
1489.0	Florida State University	FL	I	564	399	378.0	473.0	729	525	494.0	616.0	510.0	316.0	192.0	16.0	1038.0	http://dbpedia.org/resource/Florida_State_University	medium	high	133.0
1531.0	Stetson University	FL	IIA	622	437	370.0	477.0	794	561	467.0	605.0	61.0	52.0	65.0	2.0	185.0	http://dbpedia.org/resource/Stetson_University	medium	high	135.0
1535.0	University of Florida	FL	I	613	430	399.0	501.0	790	567	527.0	653.0	981.0	721.0	510.0	49.0	2261.0	http://dbpedia.org/resource/University_of_Florida	high	high	136.0
1536.0	University of Miami	FL	I	693	510	408.0	513.0	895	654	514.0	659.0	291.0	200.0	147.0	20.0	769.0	http://dbpedia.org/resource/University_of_Miami	high	high	137.0
1537.0	University of South Florida	FL	I	571	418	369.0	455.0	735	547	483.0	591.0	387.0	319.0	239.0	45.0	1038.0	http://dbpedia.org/resource/University_of_South_Florida	medium	medium	138.0
1538.0	University of Tampa	FL	IIB	495	425	371.0	416.0	593	513	438.0	497.0	36.0	37.0	46.0	4.0	127.0	http://dbpedia.org/resource/University_of_Tampa	medium	medium	139.0
9841.0	University of North Florida	FL	IIB	498	405	343.0	408.0	663	544	462.0	547.0	73.0	81.0	57.0	19.0	230.0	http://dbpedia.org/resource/University_of_North_Florida	medium	medium	142.0
1542.0	Agnes Scott College	GA	IIB	527	421	356.0	426.0	651	528	441.0	528.0	19.0	24.0	19.0	4.0	66.0	http://dbpedia.org/resource/Agnes_Scott_College	medium	medium	143.0
1552.0	Augusta College	GA	IIA	503	409	336.0	383.0	645	520	431.0	489.0	40.0	43.0	79.0	21.0	183.0	http://dbpedia.org/resource/Augusta_State_University	medium	medium	145.0
1561.0	Columbus College	GA	IIA	456	375	333.0	396.0	588	491	437.0	515.0	75.0	50.0	51.0	2.0	178.0	http://dbpedia.org/resource/Columbus_College_of_Art_and_Design	medium	medium	147.0
1564.0	Emory University	GA	I	796	547	451.0	608.0	972	686	567.0	753.0	203.0	177.0	161.0	8.0	549.0	http://dbpedia.org/resource/Emory_University	high	high	148.0
1569.0	Georgia Institute of Technology	GA	I	684	517	462.0	558.0	862	665	594.0	711.0	235.0	206.0	167.0	17.0	626.0	http://dbpedia.org/resource/Georgia_Institute_of_Technology	high	high	150.0
1586.0	Oglethorpe University	GA	IIB	516	454	329.0	450.0	630	550	390.0	546.0	21.0	9.0	10.0	0.0	44.0	http://dbpedia.org/resource/Oglethorpe_University	medium	medium	153.0
1591.0	Shorter College	GA	IIB	370	308	294.0	317.0	439	368	355.0	379.0	16.0	17.0	17.0	5.0	55.0	http://dbpedia.org/resource/Shorter_University	low	low	154.0
1602.0	Georgia College	GA	IIA	447	388	340.0	373.0	571	496	440.0	479.0	47.0	41.0	80.0	11.0	179.0	http://dbpedia.org/resource/Georgia_College_&_State_University	medium	medium	158.0
21078.0	University of Hawaii-West Oahu	HI	IIB	513	*	396.0	449.0	654	*	512.0	576.0	8.0	4.0	8.0	0.0	20.0	http://dbpedia.org/resource/University_of_Hawaii%E2%80%93West_Oahu	medium	medium	160.0
29020.0	University of Hawaii at Hilo	HI	IIB	576	461	414.0	467.0	731	591	534.0	598.0	43.0	47.0	37.0	14.0	141.0	http://dbpedia.org/resource/University_of_Hawaii_at_Hilo	medium	high	161.0
1846.0	Briar Cliff College	IA	IIB	367	324	286.0	313.0	473	412	359.0	398.0	16.0	13.0	28.0	3.0	60.0	http://dbpedia.org/resource/Briar_Cliff_University	low	low	162.0
1847.0	Buena Vista College	IA	IIB	484	416	339.0	382.0	606	522	440.0	486.0	20.0	12.0	30.0	10.0	72.0	http://dbpedia.org/resource/Buena_Vista_University	medium	medium	163.0
1852.0	Clarke College	IA	IIB	436	361	312.0	338.0	512	445	379.0	407.0	11.0	10.0	25.0	8.0	54.0	http://dbpedia.org/resource/Clarke_University	low	low	165.0
1854.0	Coe College	IA	IIB	516	421	340.0	436.0	671	541	459.0	570.0	30.0	21.0	22.0	0.0	73.0	http://dbpedia.org/resource/Coe_College	medium	medium	166.0
1856.0	Cornell College	IA	IIB	578	426	368.0	468.0	693	534	463.0	574.0	31.0	22.0	17.0	5.0	75.0	http://dbpedia.org/resource/Cornell_College	medium	medium	167.0
1859.0	Dordt College	IA	IIB	411	356	308.0	355.0	548	470	406.0	472.0	30.0	14.0	16.0	12.0	72.0	http://dbpedia.org/resource/Dordt_College	medium	medium	168.0
1860.0	Drake University	IA	IIA	601	458	409.0	481.0	762	578	496.0	600.0	101.0	61.0	107.0	16.0	285.0	http://dbpedia.org/resource/Drake_University	medium	high	169.0
1866.0	Graceland College	IA	IIB	411	331	301.0	345.0	490	401	366.0	418.0	26.0	11.0	29.0	1.0	70.0	http://dbpedia.org/resource/Graceland_University	low	low	170.0
1867.0	Grand View College	IA	IIB	385	320	295.0	329.0	481	405	377.0	416.0	22.0	31.0	20.0	2.0	75.0	http://dbpedia.org/resource/Grand_View_University	low	low	171.0
1868.0	Grinnell College	IA	IIB	642	517	405.0	513.0	809	641	496.0	638.0	46.0	36.0	52.0	3.0	139.0	http://dbpedia.org/resource/Grinnell_College	high	high	172.0
1869.0	Iowa State University	IA	I	684	506	404.0	534.0	842	635	514.0	666.0	467.0	353.0	284.0	84.0	1188.0	http://dbpedia.org/resource/Iowa_State_University	high	high	173.0
1873.0	Loras College	IA	IIB	419	363	314.0	363.0	531	438	378.0	445.0	37.0	35.0	31.0	6.0	109.0	http://dbpedia.org/resource/Loras_College	medium	medium	174.0
1879.0	Morningside College	IA	IIB	389	331	303.0	341.0	495	414	365.0	425.0	20.0	29.0	16.0	1.0	66.0	http://dbpedia.org/resource/Morningside_College	low	low	176.0
1880.0	Mount Mercy College	IA	IIB	379	356	334.0	337.0	465	427	396.0	405.0	7.0	20.0	28.0	8.0	63.0	http://dbpedia.org/resource/Mount_Mercy_College,_Cork	low	low	177.0
1881.0	Mount St. Clare College	IA	IIA	*	*	?	302.0	*	*	?	373.0	0.0	0.0	0.0	0.0	18.0	http://dbpedia.org/resource/Ashford_University	low	low	178.0
1883.0	Northwestern College	IA	IIB	430	372	311.0	344.0	531	477	394.0	434.0	9.0	16.0	27.0	6.0	58.0	http://dbpedia.org/resource/Northwestern_College_(Minnesota)	low	low	179.0
1887.0	Simpson College	IA	IIB	491	377	339.0	394.0	645	473	434.0	504.0	25.0	11.0	17.0	14.0	67.0	http://dbpedia.org/resource/Simpson_College	medium	medium	180.0
1889.0	St. Ambrose University	IA	IIB	431	374	325.0	362.0	541	471	401.0	450.0	29.0	15.0	44.0	8.0	98.0	http://dbpedia.org/resource/Saint_Ambrose_University	medium	medium	181.0
1891.0	University of Dubuque	IA	IIB	351	315	309.0	323.0	443	392	358.0	396.0	19.0	23.0	14.0	2.0	58.0	http://dbpedia.org/resource/University_of_Dubuque	low	low	183.0
1900.0	William Penn College	IA	IIB	351	312	269.0	294.0	420	386	335.0	363.0	8.0	11.0	19.0	7.0	45.0	http://dbpedia.org/resource/William_Penn_University	low	low	187.0
1616.0	Boise State University	ID	IIA	448	391	354.0	391.0	566	498	453.0	498.0	157.0	111.0	100.0	7.0	427.0	http://dbpedia.org/resource/Boise_State_University	medium	medium	188.0
1617.0	Albertson College of Idaho	ID	IIB	424	338	266.0	336.0	540	430	338.0	428.0	16.0	20.0	19.0	1.0	56.0	http://dbpedia.org/resource/College_of_Idaho	low	low	189.0
1620.0	Idaho State University	ID	IIA	466	382	337.0	368.0	588	487	433.0	471.0	128.0	99.0	113.0	120.0	460.0	http://dbpedia.org/resource/Idaho_State_University	medium	medium	190.0
1621.0	Lewis-Clark State College	ID	IIB	391	329	292.0	338.0	499	425	381.0	436.0	39.0	35.0	35.0	1.0	110.0	http://dbpedia.org/resource/Lewis%E2%80%93Clark_State_College	low	low	191.0
1624.0	Northwest Nazarene College	ID	IIB	*	*	?	341.0	*	*	?	448.0	0.0	0.0	0.0	0.0	71.0	http://dbpedia.org/resource/Northwest_Nazarene_University	low	medium	192.0
1626.0	University of Idaho	ID	I	514	408	373.0	438.0	640	514	472.0	550.0	217.0	165.0	155.0	9.0	546.0	http://dbpedia.org/resource/University_of_Idaho	medium	medium	193.0
1633.0	Augustana College	IL	IIB	527	425	362.0	418.0	648	523	449.0	517.0	41.0	28.0	50.0	18.0	137.0	http://dbpedia.org/resource/Augustana_College_(Illinois)	medium	medium	194.0
1634.0	Aurora University	IL	IIB	434	379	339.0	372.0	528	461	402.0	447.0	18.0	16.0	19.0	16.0	69.0	http://dbpedia.org/resource/Aurora_University	medium	medium	195.0
1639.0	Blackburn University	IL	IIB	*	*	?	312.0	*	*	?	370.0	0.0	0.0	0.0	0.0	23.0	http://dbpedia.org/resource/Blackburn_College_(Illinois)	low	low	197.0
1665.0	Columbia College	IL	IIB	*	*	?	349.0	*	*	?	446.0	0.0	0.0	0.0	0.0	171.0	http://dbpedia.org/resource/Columbia_College_Chicago	low	medium	199.0
1666.0	Concordia University	IL	IIB	399	351	295.0	351.0	487	435	374.0	435.0	30.0	23.0	24.0	1.0	78.0	http://dbpedia.org/resource/Concordia_University	medium	low	200.0
1671.0	DePaul University	IL	IIA	702	543	427.0	524.0	857	681	527.0	648.0	120.0	173.0	152.0	55.0	500.0	http://dbpedia.org/resource/DePaul_University	high	high	201.0
1684.0	Greenville College	IL	IIB	374	331	292.0	336.0	466	424	370.0	422.0	27.0	11.0	15.0	4.0	57.0	http://dbpedia.org/resource/Greenville_College	low	low	204.0
1688.0	Illinois College	IL	IIB	522	424	347.0	424.0	621	503	410.0	502.0	16.0	18.0	14.0	3.0	51.0	http://dbpedia.org/resource/Illinois_College	medium	medium	205.0
1691.0	Illinois Institute of Technology	IL	I	680	480	452.0	512.0	836	606	558.0	636.0	93.0	81.0	73.0	11.0	287.0	http://dbpedia.org/resource/Illinois_Institute_of_Technology	high	high	206.0
1692.0	Illinois State University	IL	I	548	436	373.0	460.0	638	514	445.0	541.0	289.0	187.0	244.0	0.0	720.0	http://dbpedia.org/resource/Illinois_State_University	medium	medium	207.0
