Assuming 9 as type relation
Loading files... 
  Starting wikidata.nt
  Finished wikidata.nt, still running: 0
Loaded 8396749 facts in 55.34 s using 27929 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  <http://example.com/occupation_P106>  ?b   => ?a  <http://example.com/field_of_work_P101>  ?b	0.322857548	0.011487667	0.478498581	4551	396164	9511	-1
?a  <http://example.com/developer_P178>  ?b   => ?a  <http://example.com/publisher_P123>  ?b	0.072241027	0.178120301	0.241045991	2369	13300	9828	-1
?a  <http://example.com/developer_P178>  ?b   => ?a  <http://example.com/designer_P287>  ?b	0.041201717	0.010827068	0.095049505	144	13300	1515	-1
?a  <http://example.com/manufacturer_P176>  ?b   => ?a  <http://example.com/designer_P287>  ?b	0.13676681	0.047014852	0.443413729	478	10167	1078	-1
?b  <http://example.com/edition_or_translation_of_P629>  ?a   => ?a  <http://example.com/edition_P747>  ?b	0.963636364	0.754448399	1	212	281	212	-2
?b  <http://example.com/country_of_citizenship_P27>  ?a   => ?a  <http://example.com/head_of_state_P35>  ?b	0.350490196	0.000586513	0.003719309	143	243814	38448	-1
?b  <http://example.com/terminus_P559>  ?a   => ?a  <http://example.com/connecting_line_P81>  ?b	0.021774931	0.264444444	0.901515152	119	450	132	-1
?b  <http://example.com/member_of_political_party_P102>  ?a   => ?a  <http://example.com/founder_P112>  ?b	0.044933517	0.003324682	0.494949495	196	58953	396	-2
?b  <http://example.com/encodes_P688>  ?a   => ?a  <http://example.com/encoded_by_P702>  ?b	0.996348461	0.999476714	1	1910	1911	1910	-1
?a  <http://example.com/part_of_P361>  ?b   => ?a  <http://example.com/connecting_line_P81>  ?b	0.020860018	0.002674801	0.076975017	114	42620	1481	-1
?b  <http://example.com/connecting_line_P81>  ?a   => ?a  <http://example.com/terminus_P559>  ?b	0.264444444	0.021774931	0.650273224	119	5465	183	-2
?b  <http://example.com/topic_s_main_portal_P1151>  ?a   => ?a  <http://example.com/portal_s_main_topic_P1204>  ?b	0.991803279	0.996705107	1	605	607	605	-2
?a  <http://example.com/production_company_P272>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.019868078	0.047353407	0.074759808	747	15775	9992	-1
?b  <http://example.com/country_P17>  ?a   => ?a  <http://example.com/top_level_domain_P78>  ?b	0.737931034	0.000255348	0.000255688	214	838073	836956	-1
?b  <http://example.com/belongs_to_jurisdiction_P1001>  ?a   => ?a  <http://example.com/flag_P163>  ?b	0.631205674	0.292570677	0.440594059	445	1521	1010	-1
?a  <http://example.com/cast_member_P161>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.057556253	0.007851504	0.016847678	2164	275616	128445	-1
?a  <http://example.com/performer_musical_artist_P175>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.013990106	0.004564744	0.300571429	526	115231	1750	-1
?a  <http://example.com/director_P57>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.119341454	0.069725883	0.1752529	4487	64352	25603	-1
?a  <http://example.com/screenwriter_P58>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.056226395	0.074850405	0.131508554	2114	28243	16075	-1
?a  <http://example.com/director_of_photography_P344>  ?b   => ?a  <http://example.com/producer_P162>  ?b	0.005931167	0.010008527	0.017858573	223	22281	12487	-1
?b  <http://example.com/lake_inflows_P200>  ?a   => ?a  <http://example.com/mouth_of_the_watercourse_P403>  ?b	0.027670172	0.4784689	0.704225352	100	209	142	-1
?a  <http://example.com/screenwriter_P58>  ?b   => ?a  <http://example.com/director_of_photography_P344>  ?b	0.009200664	0.007258436	0.012177736	205	28243	16834	-1
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/director_of_photography_P344>  ?b	0.010008527	0.005931167	0.013636642	223	37598	16353	-1
?a  <http://example.com/cast_member_P161>  ?b   => ?a  <http://example.com/director_of_photography_P344>  ?b	0.005340873	0.00043176	0.000980166	119	275616	121408	-1
?a  <http://example.com/director_P57>  ?b   => ?a  <http://example.com/director_of_photography_P344>  ?b	0.025851622	0.008950771	0.027047333	576	64352	21296	-1
?b  <http://example.com/member_of_P463>  ?a   => ?a  <http://example.com/consists_of_P527>  ?b	0.084808563	0.05287022	0.663090129	618	11689	932	-2
?b  <http://example.com/series_P179>  ?a   => ?a  <http://example.com/consists_of_P527>  ?b	0.02195691	0.013879251	0.91954023	160	11528	174	-2
?b  <http://example.com/subclass_of_P279>  ?a   => ?a  <http://example.com/consists_of_P527>  ?b	0.026622753	0.005244235	0.324958124	194	36993	597	-2
?b  <http://example.com/part_of_P361>  ?a   => ?a  <http://example.com/consists_of_P527>  ?b	0.345958556	0.059150634	0.855446216	2521	42620	2947	-2
?b  <http://example.com/is_in_the_administrative_territorial_entity_P131>  ?a   => ?a  <http://example.com/consists_of_P527>  ?b	0.174145739	0.001917646	0.612156295	1269	661749	2073	-2
?b  <http://example.com/encoded_by_P702>  ?a   => ?a  <http://example.com/encodes_P688>  ?b	0.999476714	0.996348461	1	1910	1917	1910	-2
?a  <http://example.com/moveable_object_location_P276>  ?b   => ?a  <http://example.com/collection_P195>  ?b	0.121649485	0.595959596	0.880597015	236	396	268	-1
?b  <http://example.com/work_P800>  ?a   => ?a  <http://example.com/author_P50>  ?b	0.005492909	0.604651163	0.981132075	208	344	212	-1
?b  <http://example.com/country_of_citizenship_P27>  ?a   => ?a  <http://example.com/head_of_government_P6>  ?b	0.016219795	0.000602919	0.211206897	147	243814	696	-2
?a  <http://example.com/illustrator_P110>  ?b   => ?a  <http://example.com/author_P50>  ?b	0.007394301	0.187040748	0.194174757	280	1497	1442	-1
?b  <http://example.com/place_of_birth_P19>  ?a   => ?a  <http://example.com/head_of_government_P6>  ?b	0.015116407	0.000452062	0.191608392	137	303056	715	-2
?b  <http://example.com/sister_P9>  ?a   => ?a  <http://example.com/brother_P7>  ?b	0.149597012	0.434360731	0.730326296	761	1752	1042	-1
?b  <http://example.com/brother_P7>  ?a   => ?a  <http://example.com/brother_P7>  ?b	0.691566739	0.691566739	0.888383838	3518	5087	3960	-1
?b  <http://example.com/mouth_of_the_watercourse_P403>  ?a   => ?a  <http://example.com/lake_inflows_P200>  ?b	0.4784689	0.027670172	0.793650794	100	3614	126	-2
?a  <http://example.com/genre_P136>  ?b   => ?a  <http://example.com/subject_heading_P921>  ?b	0.01317734	0.001096896	0.01969446	107	97548	5433	-1
?b  <http://example.com/founder_P112>  ?a   => ?a  <http://example.com/member_of_political_party_P102>  ?b	0.003324682	0.044933517	0.503856041	196	4362	389	-1
?b  <http://example.com/chairperson_P488>  ?a   => ?a  <http://example.com/member_of_political_party_P102>  ?b	0.010126711	0.410027473	0.628421053	597	1456	950	-1
?b  <http://example.com/cohabitant_P451>  ?a   => ?a  <http://example.com/cohabitant_P451>  ?b	0.814479638	0.814479638	0.970350404	360	442	371	-2
?a  <http://example.com/characters_P674>  ?b   => ?a  <http://example.com/series_P179>  ?b	0.013619015	0.089255259	0.1882494	157	1759	834	-1
?b  <http://example.com/consists_of_P527>  ?a   => ?a  <http://example.com/series_P179>  ?b	0.013879251	0.02195691	0.909090909	160	7287	176	-1
?a  <http://example.com/part_of_P361>  ?b   => ?a  <http://example.com/series_P179>  ?b	0.013358779	0.003613327	0.201570681	154	42620	764	-1
?b  <http://example.com/child_P40>  ?a   => ?a  <http://example.com/mother_P25>  ?b	0.965099965	0.330104076	0.507750507	11006	33341	21676	-1
?a  <http://example.com/_OBSOLETE__playing_hand_P741>  ?b   => ?a  <http://example.com/handedness_P552>  ?b	0.418421053	0.064818589	0.709821429	159	2453	224	-1
?b  <http://example.com/legislative_body_P194>  ?a   => ?a  <http://example.com/belongs_to_jurisdiction_P1001>  ?b	0.092044707	0.298507463	0.95890411	140	469	146	-1
?b  <http://example.com/flag_P163>  ?a   => ?a  <http://example.com/belongs_to_jurisdiction_P1001>  ?b	0.292570677	0.631205674	0.952890792	445	705	467	-1
?a  <http://example.com/collection_P195>  ?b   => ?a  <http://example.com/moveable_object_location_P276>  ?b	0.595959596	0.121649485	0.825174825	236	1940	286	-1
?a  <http://example.com/country_P17>  ?b   => ?a  <http://example.com/belongs_to_jurisdiction_P1001>  ?b	0.068376068	0.000124094	0.364912281	104	838073	285	-1
?a  <http://example.com/located_in_place_P1134>  ?b   => ?a  <http://example.com/located_on_terrain_feature_P706>  ?b	0.07187017	0.087943262	0.404347826	186	2115	460	-1
?a  <http://example.com/site_of_astronomical_discovery_P65>  ?b   => ?a  <http://example.com/discoverer_or_inventor_P61>  ?b	0.015124769	0.020614611	0.021055571	377	18288	17905	-1
?b  <http://example.com/said_to_be_the_same_as_P460>  ?a   => ?a  <http://example.com/said_to_be_the_same_as_P460>  ?b	0.73796034	0.73796034	0.948134668	1042	1412	1099	-2
?a  <http://example.com/located_in_place_P1134>  ?b   => ?a  <http://example.com/named_after_P138>  ?b	0.012119923	0.080851064	0.214285714	171	2115	798	-1
?a  <http://example.com/maintained_by_P126>  ?b   => ?a  <http://example.com/owned_by_P127>  ?b	0.78250189	0.95967555	0.975500589	12423	12945	12735	-1
?a  <http://example.com/capital_P36>  ?b   => ?a  <http://example.com/named_after_P138>  ?b	0.011056772	0.013950993	0.248012719	156	11182	629	-1
?b  <http://example.com/is_in_the_administrative_territorial_entity_P131>  ?a   => ?a  <http://example.com/named_after_P138>  ?b	0.014742363	0.000314319	0.001764536	208	661749	117878	-1
?a  <http://example.com/country_P17>  ?b   => ?a  <http://example.com/owned_by_P127>  ?b	0.018581507	0.000351998	0.022067624	295	838073	13368	-1
?a  <http://example.com/developer_P178>  ?b   => ?a  <http://example.com/distributor_P750>  ?b	0.102040816	0.007894737	0.127427184	105	13300	824	-1
?a  <http://example.com/publisher_P123>  ?b   => ?a  <http://example.com/distributor_P750>  ?b	0.161321672	0.005062056	0.209860936	166	32793	791	-1
?a  <http://example.com/language_P407>  ?b   => ?a  <http://example.com/original_language_P364>  ?b	0.002173598	0.06496063	0.460893855	165	2540	358	-1
?a  <http://example.com/designer_P287>  ?b   => ?a  <http://example.com/manufacturer_P176>  ?b	0.047014852	0.13676681	0.451369216	478	3495	1059	-1
?a  <http://example.com/original_language_P364>  ?b   => ?a  <http://example.com/language_P407>  ?b	0.06496063	0.002173598	0.781990521	165	75911	211	-1
?a  <http://example.com/country_P17>  ?b   => ?a  <http://example.com/country_of_origin_P495>  ?b	0.009685893	0.000211199	0.725409836	177	838073	244	-1
?b  <http://example.com/performer_musical_artist_P175>  ?a   => ?a  <http://example.com/discography_P358>  ?b	0.1521181	0.004113476	1	474	115231	474	-2
?a  <http://example.com/succeeded_by_P156>  ?b   => ?a  <http://example.com/child_P40>  ?b	0.027383702	0.008655587	0.55704698	913	105481	1639	-2
?b  <http://example.com/preceded_by_P155>  ?a   => ?a  <http://example.com/child_P40>  ?b	0.028073543	0.008321257	0.560479042	936	112483	1670	-2
?b  <http://example.com/mother_P25>  ?a   => ?a  <http://example.com/child_P40>  ?b	0.330104076	0.965099965	0.985494269	11006	11404	11168	-2
?b  <http://example.com/consists_of_P527>  ?a   => ?a  <http://example.com/subclass_of_P279>  ?b	0.005244235	0.026622753	0.381139489	194	7287	509	-1
?b  <http://example.com/father_P22>  ?a   => ?a  <http://example.com/child_P40>  ?b	0.613298941	0.953686862	0.996394114	20448	21441	20522	-2
?a  <http://example.com/connecting_line_P81>  ?b   => ?a  <http://example.com/part_of_P361>  ?b	0.002674801	0.020860018	0.058945191	114	5465	1934	-1
?b  <http://example.com/consists_of_P527>  ?a   => ?a  <http://example.com/part_of_P361>  ?b	0.059150634	0.345958556	0.927861612	2521	7287	2717	-1
?a  <http://example.com/series_P179>  ?b   => ?a  <http://example.com/part_of_P361>  ?b	0.003613327	0.013358779	0.20754717	154	11528	742	-1
?b  <http://example.com/part_of_P361>  ?a   => ?a  <http://example.com/part_of_P361>  ?b	0.003144064	0.003144064	0.018120352	134	42620	7395	-1
?b  <http://example.com/country_P17>  ?a   => ?a  <http://example.com/capital_P36>  ?b	0.017796459	0.000237449	0.000262353	199	838073	758521	-1
?a  <http://example.com/named_after_P138>  ?b   => ?a  <http://example.com/capital_P36>  ?b	0.013950993	0.011056772	0.234586466	156	14109	665	-1
?a  <http://example.com/contains_administrative_territorial_entity_P150>  ?b   => ?a  <http://example.com/capital_P36>  ?b	0.381953139	0.047815232	0.066355939	4271	89323	64365	-1
?b  <http://example.com/is_in_the_administrative_territorial_entity_P131>  ?a   => ?a  <http://example.com/capital_P36>  ?b	0.695850474	0.011758235	0.023332874	7781	661749	333478	-1
?b  <http://example.com/sister_P9>  ?a   => ?a  <http://example.com/sister_P9>  ?b	0.426940639	0.426940639	0.728334956	748	1752	1027	-1
?b  <http://example.com/brother_P7>  ?a   => ?a  <http://example.com/sister_P9>  ?b	0.434360731	0.149597012	0.547482014	761	5087	1390	-1
?a  <http://example.com/employer_P108>  ?b   => ?a  <http://example.com/alma_mater_P69>  ?b	0.002337652	0.031096275	0.094199042	177	5692	1879	-1
?a  <http://example.com/is_in_the_administrative_territorial_entity_P131>  ?b   => ?a  <http://example.com/capital_P36>  ?b	0.009837238	0.000166226	0.010752688	110	661749	10230	-1
?b  <http://example.com/country_P17>  ?a   => ?a  <http://example.com/anthem_P85>  ?b	0.208333333	0.000125287	0.000183206	105	838073	573125	-1
?a  <http://example.com/subject_heading_P921>  ?b   => ?a  <http://example.com/genre_P136>  ?b	0.001096896	0.01317734	0.026776777	107	8120	3996	-1
?b  <http://example.com/succeeded_by_P156>  ?a   => ?a  <http://example.com/father_P22>  ?b	0.041182781	0.008371176	0.526221692	883	105481	1678	-1
?a  <http://example.com/preceded_by_P155>  ?b   => ?a  <http://example.com/father_P22>  ?b	0.044260995	0.00843683	0.539511086	949	112483	1759	-1
?b  <http://example.com/child_P40>  ?a   => ?a  <http://example.com/father_P22>  ?b	0.953686862	0.613298941	0.65690054	20448	33341	31128	-1
?a  <http://example.com/owned_by_P127>  ?b   => ?a  <http://example.com/maintained_by_P126>  ?b	0.95967555	0.78250189	0.975653813	12423	15876	12733	-1
?b  <http://example.com/child_P40>  ?a   => ?a  <http://example.com/preceded_by_P155>  ?b	0.008321257	0.028073543	0.331093031	936	33341	2827	-1
?a  <http://example.com/father_P22>  ?b   => ?a  <http://example.com/preceded_by_P155>  ?b	0.00843683	0.044260995	0.540125213	949	21441	1757	-1
?b  <http://example.com/shares_border_with_P47>  ?a   => ?a  <http://example.com/shares_border_with_P47>  ?b	0.893959398	0.893959398	0.919100159	79220	88617	86193	-2
?b  <http://example.com/succeeded_by_P156>  ?a   => ?a  <http://example.com/preceded_by_P155>  ?b	0.779877848	0.831647406	0.974234532	87723	105481	90043	-1
?a  <http://example.com/performer_musical_artist_P175>  ?b   => ?a  <http://example.com/record_label_P264>  ?b	0.00354134	0.00297663	0.003919507	343	115231	87511	-1
?a  <http://example.com/lyrics_by_P676>  ?b   => ?a  <http://example.com/performer_musical_artist_P175>  ?b	0.011923875	0.356512714	0.426973275	1374	3854	3218	-1
?b  <http://example.com/discography_P358>  ?a   => ?a  <http://example.com/performer_musical_artist_P175>  ?b	0.004113476	0.1521181	0.997894737	474	3116	475	-1
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/performer_musical_artist_P175>  ?b	0.004564744	0.013990106	0.270854789	526	37598	1942	-1
?b  <http://example.com/topic_s_main_category_P910>  ?a   => ?a  <http://example.com/category_s_main_topic_P301>  ?b	0.814420393	0.993664346	0.996618866	117314	118062	117712	-1
?a  <http://example.com/capital_P36>  ?b   => ?a  <http://example.com/contains_administrative_territorial_entity_P150>  ?b	0.047815232	0.381953139	0.809975346	4271	11182	5273	-2
?b  <http://example.com/country_P17>  ?a   => ?a  <http://example.com/contains_administrative_territorial_entity_P150>  ?b	0.03723565	0.003968628	0.037905294	3326	838073	87745	-2
?a  <http://example.com/production_company_P272>  ?b   => ?a  <http://example.com/director_P57>  ?b	0.002750497	0.011220285	0.012795489	177	15775	13833	-1
?a  <http://example.com/screenwriter_P58>  ?b   => ?a  <http://example.com/director_P57>  ?b	0.144750746	0.329816238	0.342236755	9315	28243	27218	-1
?a  <http://example.com/director_of_photography_P344>  ?b   => ?a  <http://example.com/director_P57>  ?b	0.008950771	0.025851622	0.027848958	576	22281	20683	-1
?b  <http://example.com/is_in_the_administrative_territorial_entity_P131>  ?a   => ?a  <http://example.com/contains_administrative_territorial_entity_P150>  ?b	0.975582997	0.13168437	0.81595925	87142	661749	106797	-2
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/director_P57>  ?b	0.069725883	0.119341454	0.145055442	4487	37598	30933	-1
?a  <http://example.com/cast_member_P161>  ?b   => ?a  <http://example.com/director_P57>  ?b	0.047100323	0.010997184	0.013647682	3031	275616	222089	-1
?a  <http://example.com/record_label_P264>  ?b   => ?a  <http://example.com/performer_musical_artist_P175>  ?b	0.00297663	0.00354134	0.003637058	343	96856	94307	-1
?a  <http://example.com/country_of_citizenship_P27>  ?b   => ?a  <http://example.com/place_of_death_P20>  ?b	0.002560203	0.001525753	0.004384828	372	243814	84838	-1
?a  <http://example.com/place_of_birth_P19>  ?b   => ?a  <http://example.com/place_of_death_P20>  ?b	0.132332193	0.06344702	0.148844266	19228	303056	129182	-1
?a  <http://example.com/screenwriter_P58>  ?b   => ?a  <http://example.com/cast_member_P161>  ?b	0.007884158	0.076939419	0.082520032	2173	28243	26333	-1
?a  <http://example.com/producer_P162>  ?b   => ?a  <http://example.com/cast_member_P161>  ?b	0.007851504	0.057556253	0.070218703	2164	37598	30818	-1
?a  <http://example.com/director_of_photography_P344>  ?b   => ?a  <http://example.com/cast_member_P161>  ?b	0.00043176	0.005340873	0.005819925	119	22281	20447	-1
?a  <http://example.com/director_P57>  ?b   => ?a  <http://example.com/cast_member_P161>  ?b	0.010997184	0.047100323	0.060593339	3031	64352	50022	-1
?b  <http://example.com/team_manager_or_head_coach_P286>  ?a   => ?a  <http://example.com/member_of_sports_team_P54>  ?b	0.001071443	0.13751946	0.275467775	265	1927	962	-1
?a  <http://example.com/parent_taxon_P171>  ?b   => ?a  <http://example.com/_OBSOLETE__genus_P74>  ?b	0.97715478	0.591025457	0.996483911	164376	278120	164956	-1
?a  <http://example.com/child_P40>  ?b   => ?a  <http://example.com/succeeded_by_P156>  ?b	0.008655587	0.027383702	0.212969443	913	33341	4287	-1
?b  <http://example.com/father_P22>  ?a   => ?a  <http://example.com/succeeded_by_P156>  ?b	0.008371176	0.041182781	0.219706395	883	21441	4019	-1
?b  <http://example.com/category_s_main_topic_P301>  ?a   => ?a  <http://example.com/topic_s_main_category_P910>  ?b	0.993664346	0.814420393	0.936504135	117314	144046	125268	-1
?b  <http://example.com/succeeded_by_P156>  ?a   => ?a  <http://example.com/succeeded_by_P156>  ?b	0.001308292	0.001308292	0.001945416	138	105481	70936	-1
?b  <http://example.com/preceded_by_P155>  ?a   => ?a  <http://example.com/succeeded_by_P156>  ?b	0.831647406	0.779877848	0.97279764	87723	112483	90176	-1
?b  <http://example.com/head_of_state_P35>  ?a   => ?a  <http://example.com/country_of_citizenship_P27>  ?b	0.000586513	0.350490196	0.425595238	143	408	336	-1
?b  <http://example.com/head_of_government_P6>  ?a   => ?a  <http://example.com/country_of_citizenship_P27>  ?b	0.000602919	0.016219795	0.195478723	147	9063	752	-1
?a  <http://example.com/place_of_birth_P19>  ?b   => ?a  <http://example.com/country_of_citizenship_P27>  ?b	0.006267072	0.005041972	0.010807523	1528	303056	141383	-1
?a  <http://example.com/place_of_death_P20>  ?b   => ?a  <http://example.com/country_of_citizenship_P27>  ?b	0.001525753	0.002560203	0.004567892	372	145301	81438	-1
?b  <http://example.com/taxonomic_type_P427>  ?a   => ?a  <http://example.com/parent_taxon_P171>  ?b	0.000661585	0.591639871	0.603278689	184	311	305	-1
?a  <http://example.com/residence_P551>  ?b   => ?a  <http://example.com/place_of_birth_P19>  ?b	0.000339871	0.118937644	0.151917404	103	866	678	-1
?b  <http://example.com/head_of_government_P6>  ?a   => ?a  <http://example.com/place_of_birth_P19>  ?b	0.000452062	0.015116407	0.180977543	137	9063	757	-1
?a  <http://example.com/_OBSOLETE__family_P71>  ?b   => ?a  <http://example.com/parent_taxon_P171>  ?b	0.032191141	0.031255127	0.051523313	8953	286449	173766	-1
?a  <http://example.com/_OBSOLETE__order_P70>  ?b   => ?a  <http://example.com/parent_taxon_P171>  ?b	0.004088163	0.003735425	0.007344012	1137	304383	154820	-1
?a  <http://example.com/country_of_citizenship_P27>  ?b   => ?a  <http://example.com/place_of_birth_P19>  ?b	0.005041972	0.006267072	0.010488526	1528	243814	145683	-1
?a  <http://example.com/field_of_work_P101>  ?b   => ?a  <http://example.com/occupation_P106>  ?b	0.011487667	0.322857548	0.560813309	4551	14096	8115	-1
?a  <http://example.com/_OBSOLETE__order_P70>  ?b   => ?a  <http://example.com/_OBSOLETE__family_P71>  ?b	0.004203191	0.003955543	0.00497194	1204	304383	242159	-1
?a  <http://example.com/_OBSOLETE__genus_P74>  ?b   => ?a  <http://example.com/parent_taxon_P171>  ?b	0.591025457	0.97715478	0.996471829	164376	168219	164958	-1
?a  <http://example.com/parent_taxon_P171>  ?b   => ?a  <http://example.com/_OBSOLETE__order_P70>  ?b	0.003735425	0.004088163	0.007344487	1137	278120	154810	-1
?a  <http://example.com/place_of_death_P20>  ?b   => ?a  <http://example.com/place_of_birth_P19>  ?b	0.06344702	0.132332193	0.149027693	19228	145301	129023	-1
