Assuming 9 as type relation
Loading files... 
  Starting dbpedia2.tsv
  Finished dbpedia2.tsv, still running: 0
Loaded 6704524 facts in 47.02 s using 36293 MB
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 32 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  <dbo:constituencyMp>  ?a   => ?a  <dbo:candidate>  ?b	0.042598376	0.719409283	0.841975309	341	474	405	-2
?a  <dbo:mp>  ?b   => ?a  <dbo:candidate>  ?b	0.075577764	0.850914205	0.978964401	605	711	618	-2
?b  <dbo:district>  ?a   => ?a  <dbo:candidate>  ?b	0.014490943	0.0088166	0.620320856	116	13157	187	-2
?a  <dbo:premiers>  ?b   => ?a  <dbo:minorPremiers>  ?b	0.670588235	0.670588235	0.670588235	114	170	170	-1
?b  <dbo:title>  ?a   => ?a  <dbo:candidate>  ?b	0.110181137	0.006509033	0.320843943	882	135504	2749	-2
?a  <dbo:medalgoldProperty>  ?b   => ?a  <dbo:medalsilverProperty>  ?b	0.106277533	0.088654111	0.238762887	1158	13062	4850	-1
?a  <dbo:medalbronzeProperty>  ?b   => ?a  <dbo:medalsilverProperty>  ?b	0.072779001	0.073911828	0.217857143	793	10729	3640	-1
?a  <dbo:rd3Team01>  ?b   => ?a  <dbo:rd1Team04>  ?b	0.085987261	0.076109937	0.157740993	324	4257	2054	-2
?a  <dbo:rd2Team02>  ?b   => ?a  <dbo:rd1Team04>  ?b	0.31581741	0.27680856	0.452299506	1190	4299	2631	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd1Team04>  ?b	0.040870488	0.036320755	0.077660111	154	4240	1983	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd1Team11>  ?b	0.033807352	0.014242116	0.043994413	126	8847	2864	-2
?a  <dbo:rd4Team02>  ?b   => ?a  <dbo:rd1Team11>  ?b	0.080762007	0.070873558	0.127650551	301	4247	2358	-2
?a  <dbo:rd2Team06>  ?b   => ?a  <dbo:rd1Team11>  ?b	0.595385028	0.521014323	0.723508314	2219	4259	3067	-2
?a  <dbo:rd3Team03>  ?b   => ?a  <dbo:rd1Team11>  ?b	0.264019318	0.231420508	0.363099631	984	4252	2710	-2
?a  <dbo:sequence>  ?b   => ?a  <dbo:similarAircraft>  ?b	0.031007752	0.019933555	0.055452865	120	6020	2164	-2
?b  <dbo:sequence>  ?a   => ?a  <dbo:similarAircraft>  ?b	0.026356589	0.016943522	0.035306334	102	6020	2889	-2
?b  <dbo:similarAircraft>  ?a   => ?a  <dbo:similarAircraft>  ?b	0.273643411	0.273643411	0.393241738	1059	3870	2693	-2
?a  <dbo:timezoneDst>  ?b   => ?a  <dbo:timezone>  ?b	0.157021713	0.521187751	0.523373195	3370	6466	6439	-1
?a  <dbo:owner>  ?b   => ?a  <dbo:affiliations>  ?b	0.047906524	0.021662557	0.127725857	246	11356	1926	-1
?b  <dbo:members>  ?a   => ?a  <dbo:alliances>  ?b	0.131737974	0.247165533	0.753803596	545	2205	723	-1
?b  <dbo:ib>  ?a   => ?a  <dbo:ob>  ?b	0.988304094	0.994117647	1	169	170	169	-2
?a  <dbo:outflow>  ?b   => ?a  <dbo:inflow>  ?b	0.414233577	0.463265306	0.822463768	454	980	552	-2
?b  <dbo:teams>  ?a   => ?a  <dbo:retirednumbers>  ?b	0.634285714	0.004791298	0.449392713	111	23167	247	-2
?b  <dbo:borders>  ?a   => ?a  <dbo:borders>  ?b	0.726342711	0.726342711	0.934210526	284	391	304	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd2Team03>  ?b	0.054880897	0.026562677	0.068814056	235	8847	3415	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd2Team03>  ?b	0.11816908	0.119339623	0.182408075	506	4240	2774	-2
?a  <dbo:rd3Team02>  ?b   => ?a  <dbo:rd2Team03>  ?b	0.41686128	0.419506463	0.538299156	1785	4255	3316	-2
?a  <dbo:rd1Team06>  ?b   => ?a  <dbo:rd2Team03>  ?b	0.269500234	0.313331523	0.496130696	1154	3683	2326	-2
?a  <dbo:rd1Team05>  ?b   => ?a  <dbo:rd2Team03>  ?b	0.52078468	0.609956236	0.801581596	2230	3656	2782	-2
?a  <dbo:coverArtist>  ?b   => ?a  <dbo:illustrator>  ?b	0.168918919	0.09354537	0.869565217	100	1069	115	-1
?a  <dbo:author>  ?b   => ?a  <dbo:illustrator>  ?b	0.256756757	0.011812247	0.260720412	152	12868	583	-1
?a  <dbo:rd2Team>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.193166532	0.167913938	0.321684588	718	4276	2232	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.320419693	0.134621906	0.290204678	1191	8847	4104	-2
?a  <dbo:rd3Team01>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.591875168	0.516795866	0.706260032	2200	4257	3115	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.461931665	0.40495283	0.567040951	1717	4240	3028	-2
?a  <dbo:rd3Team>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.104654291	0.200722394	0.345164153	389	1938	1127	-2
?a  <dbo:rd2Team01>  ?b   => ?a  <dbo:rd1Team01>  ?b	0.741458165	0.641825803	0.806319485	2756	4294	3418	-2
?a  <dbo:rd2Team>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.049353702	0.049111319	0.100574713	210	4276	2088	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.151116334	0.072680005	0.151151857	643	8847	4254	-2
?a  <dbo:rd2Team03>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.419506463	0.41686128	0.608177172	1785	4282	2935	-2
?a  <dbo:rd2Team04>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.529494712	0.525052435	0.708490566	2253	4291	3180	-2
?a  <dbo:rd1Team08>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.185898942	0.216002185	0.373818526	791	3662	2116	-2
?a  <dbo:rd1Team05>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.238307873	0.277352298	0.460909091	1014	3656	2200	-2
?a  <dbo:rd1Team07>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.254994125	0.297913234	0.497478221	1085	3642	2181	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.299412456	0.300471698	0.374926427	1274	4240	3398	-2
?a  <dbo:rd1Team06>  ?b   => ?a  <dbo:rd3Team02>  ?b	0.11186839	0.129242465	0.258695652	476	3683	1840	-2
?a  <dbo:worldSnookerChampionshipRoundsProperty158>  ?b   => ?a  <dbo:worldSnookerChampionshipRoundsProperty152>  ?b	0.918918919	0.614457831	0.614457831	102	166	166	-1
?b  <dbo:constituencyMp>  ?a   => ?a  <dbo:mp>  ?b	0.452883263	0.679324895	0.907042254	322	474	355	-1
?a  <dbo:candidate>  ?b   => ?a  <dbo:mp>  ?b	0.850914205	0.075577764	0.298617966	605	8005	2026	-1
?b  <dbo:title>  ?a   => ?a  <dbo:mp>  ?b	0.616033755	0.003232377	0.151872399	438	135504	2884	-1
?a  <dbo:line>  ?b   => ?a  <dbo:lines>  ?b	0.554982818	0.079674396	0.917613636	323	4054	352	-1
?a  <dbo:managerclubs>  ?b   => ?a  <dbo:currentclub>  ?b	0.025171625	0.079491652	0.234042553	319	4013	1363	-1
?b  <dbo:manager>  ?a   => ?a  <dbo:currentclub>  ?b	0.020752782	0.041203196	0.834920635	263	6383	315	-1
?a  <dbo:youthclubs>  ?b   => ?a  <dbo:currentclub>  ?b	0.063441963	0.118601564	0.155002892	804	6779	5187	-1
?a  <dbo:debutteam>  ?b   => ?a  <dbo:playingteams>  ?b	0.622641509	0.043810156	0.846153846	132	3013	156	-1
?b  <dbo:name>  ?a   => ?a  <dbo:currentclub>  ?b	0.417738499	0.061717457	0.308778069	5294	85778	17145	-1
?a  <dbo:clubs>  ?b   => ?a  <dbo:currentclub>  ?b	0.749072832	0.17767172	0.259918408	9493	53430	36523	-1
?b  <dbo:nearW>  ?a   => ?a  <dbo:nearE>  ?b	0.484563758	0.481333333	0.641967991	1083	2250	1687	-1
?b  <dbo:nearNw>  ?a   => ?a  <dbo:nearE>  ?b	0.159731544	0.172881356	0.227969349	357	2065	1566	-1
?b  <dbo:nearSw>  ?a   => ?a  <dbo:nearE>  ?b	0.156152125	0.167707833	0.22386145	349	2081	1559	-1
?a  <dbo:nearSe>  ?b   => ?a  <dbo:nearE>  ?b	0.218344519	0.233716475	0.244488978	488	2088	1996	-1
?a  <dbo:nearNe>  ?b   => ?a  <dbo:nearE>  ?b	0.217002237	0.23150358	0.243229689	485	2095	1994	-1
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd1Team06>  ?b	0.033668205	0.029245283	0.06581741	124	4240	1884	-2
?a  <dbo:rd2Team03>  ?b   => ?a  <dbo:rd1Team06>  ?b	0.313331523	0.269500234	0.447981366	1154	4282	2576	-2
?a  <dbo:rd3Team02>  ?b   => ?a  <dbo:rd1Team06>  ?b	0.129242465	0.11186839	0.202985075	476	4255	2345	-2
?b  <dbo:evolvesto>  ?a   => ?a  <dbo:preceding>  ?b	0.096088435	0.676646707	0.753333333	113	167	150	-2
?a  <dbo:evolvesfrom>  ?b   => ?a  <dbo:preceding>  ?b	0.106292517	0.850340136	0.88028169	125	147	142	-2
?a  <dbo:hoennpreceding>  ?b   => ?a  <dbo:preceding>  ?b	0.092687075	0.712418301	0.773049645	109	153	141	-2
?b  <dbo:following>  ?a   => ?a  <dbo:preceding>  ?b	0.781462585	0.623896809	0.83850365	919	1473	1096	-2
?a  <dbo:spDate>  ?b   => ?a  <dbo:fsDate>  ?b	0.522167488	0.504761905	0.527363184	106	210	201	-1
?a  <dbo:combinedDate>  ?b   => ?a  <dbo:fsDate>  ?b	0.827586207	0.819512195	0.831683168	168	205	202	-1
?b  <dbo:nearS>  ?a   => ?a  <dbo:nearN>  ?b	0.540684749	0.53662842	0.685456595	1216	2266	1774	-1
?b  <dbo:nearSw>  ?a   => ?a  <dbo:nearN>  ?b	0.168519342	0.182123979	0.241094148	379	2081	1572	-1
?b  <dbo:nearSe>  ?a   => ?a  <dbo:nearN>  ?b	0.161405069	0.173850575	0.235867446	363	2088	1539	-1
?a  <dbo:nearNe>  ?b   => ?a  <dbo:nearN>  ?b	0.178746109	0.191885442	0.201301953	402	2095	1997	-1
?a  <dbo:nearNw>  ?b   => ?a  <dbo:nearN>  ?b	0.18541574	0.201937046	0.211567732	417	2065	1971	-1
?a  <dbo:officialName>  ?b   => ?a  <dbo:nameOfRace>  ?b	0.1401649	0.512931034	0.619791667	119	232	192	-1
?a  <dbo:placebirth>  ?b   => ?a  <dbo:residence>  ?b	0.039800995	0.221041445	0.303649635	208	941	685	-1
?a  <dbo:placeOfDeath>  ?b   => ?a  <dbo:residence>  ?b	0.032912361	0.015659141	0.315018315	172	10984	546	-1
?a  <dbo:countryofbirth>  ?b   => ?a  <dbo:residence>  ?b	0.023153463	0.006645796	0.870503597	121	18207	139	-1
?a  <dbo:placeOfBirth>  ?b   => ?a  <dbo:residence>  ?b	0.037887486	0.007823922	0.197014925	198	25307	1005	-1
?a  <dbo:nationality>  ?b   => ?a  <dbo:residence>  ?b	0.159586682	0.120729589	0.670418006	834	6908	1244	-1
?a  <dbo:deathPlace>  ?b   => ?a  <dbo:residence>  ?b	0.109644087	0.019091091	0.455847255	573	30014	1257	-1
?a  <dbo:birthPlace>  ?b   => ?a  <dbo:residence>  ?b	0.21833142	0.014834365	0.27727825	1141	76916	4115	-1
?b  <dbo:partner>  ?a   => ?a  <dbo:partner>  ?b	0.335802469	0.335802469	0.824242424	136	405	165	-2
?a  <dbo:currentclub>  ?b   => ?a  <dbo:managerclubs>  ?b	0.079491652	0.025171625	0.035750308	319	12673	8923	-2
?a  <dbo:title>  ?b   => ?a  <dbo:managerclubs>  ?b	0.036630949	0.001084839	0.067400275	147	135504	2181	-2
?b  <dbo:manager>  ?a   => ?a  <dbo:managerclubs>  ?b	0.066284575	0.041673194	0.308584687	266	6383	862	-2
?a  <dbo:clubs>  ?b   => ?a  <dbo:managerclubs>  ?b	0.219038126	0.016451432	0.02511931	879	53430	34993	-2
?a  <dbo:countryofdeath>  ?b   => ?a  <dbo:countryofbirth>  ?b	0.014444994	0.686684073	0.705093834	263	383	373	-1
?a  <dbo:residence>  ?b   => ?a  <dbo:countryofbirth>  ?b	0.006645796	0.023153463	0.542600897	121	5226	223	-1
?a  <dbo:placeOfBirth>  ?b   => ?a  <dbo:countryofbirth>  ?b	0.04723458	0.033982693	0.448617632	860	25307	1917	-1
?b  <dbo:subdivision>  ?a   => ?a  <dbo:tribus>  ?b	0.175847458	0.010390261	0.567521368	332	31953	585	-1
?b  <dbo:tenants>  ?a   => ?a  <dbo:ground>  ?b	0.04351633	0.205797101	0.598074609	497	2415	831	-2
?b  <dbo:usingCountries>  ?a   => ?a  <dbo:currency>  ?b	0.218791946	0.452777778	0.588447653	163	360	277	-1
?a  <dbo:occupation>  ?b   => ?a  <dbo:instrument>  ?b	0.01652983	0.007279564	0.027701339	151	20743	5451	-1
?a  <dbo:residence>  ?b   => ?a  <dbo:placebirth>  ?b	0.221041445	0.039800995	0.108616188	208	5226	1915	-2
?a  <dbo:birthPlace>  ?b   => ?a  <dbo:placebirth>  ?b	0.195536663	0.00239222	0.007487589	184	76916	24574	-2
?b  <dbo:solectwa>  ?a   => ?a  <dbo:subdivisionName>  ?b	0.00496771	0.23255814	0.973451327	110	473	113	-1
?b  <dbo:seat>  ?a   => ?a  <dbo:subdivisionName>  ?b	0.024974032	0.225438239	0.951807229	553	2453	581	-1
?b  <dbo:capital>  ?a   => ?a  <dbo:subdivisionName>  ?b	0.011380572	0.073341094	0.558758315	252	3436	451	-1
?a  <dbo:mapCaption>  ?b   => ?a  <dbo:subdivisionName>  ?b	0.180914962	0.906129835	0.934671022	4006	4421	4286	-1
?a  <dbo:placeofbirth>  ?b   => ?a  <dbo:placeofdeath>  ?b	0.110114192	0.064301024	0.134529148	270	4199	2007	-1
?a  <dbo:deathPlace>  ?b   => ?a  <dbo:placeofdeath>  ?b	0.062398042	0.005097621	0.67699115	153	30014	226	-1
?b  <dbo:tracks>  ?a   => ?a  <dbo:tracks>  ?b	0.209390493	0.209390493	0.664199815	718	3429	1081	-2
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd1Team08>  ?b	0.046695795	0.019328586	0.059067358	171	8847	2895	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd1Team08>  ?b	0.092026215	0.079481132	0.142917727	337	4240	2358	-2
?a  <dbo:rd3Team02>  ?b   => ?a  <dbo:rd1Team08>  ?b	0.216002185	0.185898942	0.309831571	791	4255	2553	-2
?a  <dbo:rd2Team04>  ?b   => ?a  <dbo:rd1Team08>  ?b	0.358547242	0.30598928	0.483609576	1313	4291	2715	-2
?a  <dbo:medalsilverProperty>  ?b   => ?a  <dbo:medalbronzeProperty>  ?b	0.073911828	0.072779001	0.209179636	793	10896	3791	-1
?a  <dbo:medalgoldProperty>  ?b   => ?a  <dbo:medalbronzeProperty>  ?b	0.072979774	0.059944878	0.188674699	783	13062	4150	-1
?a  <dbo:shortDescription>  ?b   => ?a  <dbo:nationality>  ?b	0.027070064	0.037732042	0.233167082	187	4956	802	-1
?a  <dbo:deathPlace>  ?b   => ?a  <dbo:nationality>  ?b	0.042993631	0.009895382	0.144736842	297	30014	2052	-1
?a  <dbo:residence>  ?b   => ?a  <dbo:nationality>  ?b	0.120729589	0.159586682	0.606545455	834	5226	1375	-1
?a  <dbo:placeOfDeath>  ?b   => ?a  <dbo:nationality>  ?b	0.023016792	0.014475601	0.18816568	159	10984	845	-1
?a  <dbo:placeOfBirth>  ?b   => ?a  <dbo:nationality>  ?b	0.042848871	0.011696369	0.182716049	296	25307	1620	-1
?a  <dbo:birthPlace>  ?b   => ?a  <dbo:nationality>  ?b	0.118558193	0.01064798	0.132760577	819	76916	6169	-1
?b  <dbo:sisterNames>  ?a   => ?a  <dbo:sisterNames>  ?b	0.459602649	0.459602649	0.606643357	347	755	572	-2
?b  <dbo:before>  ?a   => ?a  <dbo:followedBy>  ?b	0.025373374	0.001426933	0.36744186	158	110727	430	-1
?a  <dbo:after>  ?b   => ?a  <dbo:followedBy>  ?b	0.026497511	0.001519015	0.517241379	165	108623	319	-1
?a  <dbo:rd1Team>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.095781869	0.046456426	0.104261796	411	8847	3942	-2
?a  <dbo:rd2Team>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.032626427	0.032740879	0.072614108	140	4276	1928	-2
?a  <dbo:rd4Team01>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.179911443	0.182075472	0.250975293	772	4240	3076	-2
?a  <dbo:rd1Team08>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.30598928	0.358547242	0.54845447	1313	3662	2394	-2
?a  <dbo:rd1Team07>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.480773712	0.566447007	0.77294867	2063	3642	2669	-2
?a  <dbo:rd3Team02>  ?b   => ?a  <dbo:rd2Team04>  ?b	0.525052435	0.529494712	0.663818503	2253	4255	3394	-2
?b  <dbo:precededBy>  ?a   => ?a  <dbo:followedBy>  ?b	0.687811145	0.745907349	0.940905097	4283	5742	4552	-1
?a  <dbo:title>  ?b   => ?a  <dbo:distributor>  ?b	0.010429448	0.001254576	0.248538012	170	135504	684	-1
?b  <dbo:party>  ?a   => ?a  <dbo:leader>  ?b	0.087364621	0.010938347	0.523809524	121	11062	231	-2
?b  <dbo:southwest>  ?a   => ?a  <dbo:northeast>  ?b	0.343154246	0.344347826	0.546961326	198	575	362	-1
