id	album	artist	date	rating	DBpedia_URL label
17.0	Speakerboxxx/The Love Below	Outkast	23-Sep-03	91.0	http://dbpedia.org/resource/Speakerboxxx/The_Love_Below	good
18.0	The ArchAndroid	Janelle MonÃ¡e	18-May-10	91.0	http://dbpedia.org/resource/The_ArchAndroid	good
19.0	The Guitar Song	Jamey Johnson	14-Sep-10	91.0	http://dbpedia.org/resource/The_Guitar_Song	good
20.0	Unto the Locust	Machine Head	20-Sep-11	91.0	http://dbpedia.org/resource/Unto_the_Locust	good
21.0	From Here We Go Sublime	The Field	3-Apr-07	90.0	http://dbpedia.org/resource/From_Here_We_Go_Sublime	good
22.0	Funeral	Arcade Fire	14-Sep-04	90.0	http://dbpedia.org/resource/Funeral_(album)	good
23.0	Illinois	Sufjan Stevens	5-Jul-05	90.0	http://dbpedia.org/resource/Illinois_(album)	good
24.0	Original Pirate Material	The Streets	22-Oct-02	90.0	http://dbpedia.org/resource/Original_Pirate_Material	good
25.0	Sir Lucious Left Foot: The Son of Chico Dusty	Big Boi	6-Jul-10	90.0	http://dbpedia.org/resource/Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty	good
26.0	Untrue	Burial	6-Nov-07	90.0	http://dbpedia.org/resource/Untrue	good
27.0	What Were You Hoping For?	Van Hunt	27-Sep-11	90.0	http://dbpedia.org/resource/What_Were_You_Hoping_For%3F	good
28.0	XTRMNTR	Primal Scream	2-May-00	90.0	http://dbpedia.org/resource/XTRMNTR	good
29.0	Bachelor No. 2 (or, the last remains of the dodo)	Aimee Mann	2-May-00	89.0	http://dbpedia.org/resource/Bachelor_No._2_or,_the_Last_Remains_of_the_Dodo	good
30.0	Hell Hath No Fury	Clipse	28-Nov-06	89.0	http://dbpedia.org/resource/Hell_Hath_No_Fury	good
31.0	HoboSapiens	John Cale	7-Sep-04	89.0	http://dbpedia.org/resource/HoboSapiens	good
32.0	I Was Trying To Describe You To Someone	Crime In Stereo	23-Feb-10	89.0	http://dbpedia.org/resource/I_Was_Trying_to_Describe_You_to_Someone	good
33.0	Merriweather Post Pavilion	Animal Collective	20-Jan-09	89.0	http://dbpedia.org/resource/Merriweather_Post_Pavilion_(album)	good
34.0	Miss E... So Addictive	Missy Elliott	15-May-01	89.0	http://dbpedia.org/resource/Miss_E..._So_Addictive	good
35.0	Neon Golden	The Notwist	25-Feb-03	89.0	http://dbpedia.org/resource/Neon_Golden	good
36.0	Rounds	Four Tet	6-May-03	89.0	http://dbpedia.org/resource/Rounds_(album)	good
37.0	Sale el Sol	Shakira	19-Oct-10	89.0	http://dbpedia.org/resource/Sale_el_Sol	good
38.0	Since I Left You	The Avalanches	6-Nov-01	89.0	http://dbpedia.org/resource/Since_I_Left_You	good
39.0	Songs For The Deaf	Queens of the Stone Age	27-Aug-02	89.0	http://dbpedia.org/resource/Songs_for_the_Deaf	good
40.0	St. Vincent	St. Vincent	25-Feb-14	89.0	http://dbpedia.org/resource/Strange_Mercy	good
41.0	The Greatest Story Never Told	Saigon	15-Feb-11	89.0	http://dbpedia.org/resource/The_Greatest_Story_Never_Told	good
42.0	The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do	Fiona Apple	19-Jun-12	89.0	http://dbpedia.org/resource/The_Idler_Wheel...	good
43.0	Wearemonster	Isolée	6-Jun-05	89.0	http://dbpedia.org/resource/We_Are_Monster	good
44.0	Abattoir Blues / The Lyre Of Orpheus	Nick Cave And The Bad Seeds	26-Oct-04	88.0	http://dbpedia.org/resource/Abattoir_Blues/The_Lyre_of_Orpheus	good
45.0	Arular	M.I.A.	22-Mar-05	88.0	http://dbpedia.org/resource/Arular	good
46.0	Bad as Me	Tom Waits	25-Oct-11	88.0	http://dbpedia.org/resource/Bad_as_Me	good
47.0	Bay Of Pigs [EP]	Destroyer	18-Aug-09	88.0	http://dbpedia.org/resource/Bay_of_Pigs_(EP)	good
48.0	Black Tambourine	Black Tambourine	30-Mar-10	88.0	http://dbpedia.org/resource/Black_Tambourine_(album)	good
49.0	The Best Of Blur	Blur	21-Nov-00	88.0	http://dbpedia.org/resource/Blur:_The_Best_Of	good
50.0	Chutes Too Narrow	The Shins	21-Oct-03	88.0	http://dbpedia.org/resource/Chutes_Too_Narrow	good
51.0	Crown and Treaty	Sweet Billy Pilgrim	16-Apr-12	88.0	http://dbpedia.org/resource/Crown_and_Treaty_(album)	good
52.0	Dear Science,	TV on the Radio	23-Sep-08	88.0	http://dbpedia.org/resource/Dear_Science	good
53.0	Destroyer's Rubies	Destroyer	21-Feb-06	88.0	http://dbpedia.org/resource/Destroyer's_Rubies	good
54.0	For Emma, Forever Ago	Bon Iver	19-Feb-08	88.0	http://dbpedia.org/resource/For_Emma,_Forever_Ago	good
55.0	From A Basement On The Hill	Elliott Smith	19-Oct-04	88.0	http://dbpedia.org/resource/From_a_Basement_on_the_Hill	good
56.0	Hypermagic Mountain	Lightning Bolt	18-Oct-05	88.0	http://dbpedia.org/resource/Hypermagic_Mountain	good
57.0	I Am A Bird Now	Antony and the Johnsons	1-Feb-05	88.0	http://dbpedia.org/resource/I_Am_a_Bird_Now	good
58.0	In Rainbows	Radiohead	10-Oct-07	88.0	http://dbpedia.org/resource/In_Rainbows	good
59.0	Invisible Cinema	Aaron Parks	19-Aug-08	88.0	http://dbpedia.org/resource/Invisible_Cinema	good
60.0	Kill The Moonlight	Spoon	20-Aug-02	88.0	http://dbpedia.org/resource/Kill_the_Moonlight	good
61.0	Monoliths & Dimensions	Sunn O)))	26-May-09	88.0	http://dbpedia.org/resource/Monoliths_&_Dimensions	good
62.0	Only Built 4 Cuban Linx... Pt. II	Raekwon	8-Sep-09	88.0	http://dbpedia.org/resource/Only_Built_4_Cuban_Linx..._Pt._II	good
63.0	Rejoicing In The Hands	Devendra Banhart	4-May-04	88.0	http://dbpedia.org/resource/Rejoicing_in_the_Hands	good
64.0	Return To Cookie Mountain	TV on the Radio	12-Sep-06	88.0	http://dbpedia.org/resource/Return_to_Cookie_Mountain	good
65.0	Stories from the City, Stories from the Sea	PJ Harvey	24-Oct-00	88.0	http://dbpedia.org/resource/Stories_from_the_City,_Stories_from_the_Sea	good
66.0	Ta Det Lugnt	Dungen	21-Jun-04	88.0	http://dbpedia.org/resource/Ta_det_lugnt	good
67.0	The Blueprint	Jay-Z	11-Sep-01	88.0	http://dbpedia.org/resource/The_Blueprint	good
68.0	Undun	The Roots	6-Dec-11	88.0	http://dbpedia.org/resource/Undun	good
69.0	Vespertine	BjÃ¶rk	28-Aug-01	88.0	http://dbpedia.org/resource/Vespertine	good
70.0	Where Shall You Take Me	Damien Jurado	18-Mar-03	88.0	http://dbpedia.org/resource/Where_Shall_You_Take_Me%3F	good
71.0	Airtight's Revenge	Bilal	14-Sep-10	87.0	http://dbpedia.org/resource/Airtight's_Revenge	good
72.0	Blue Record	Baroness	13-Oct-09	87.0	http://dbpedia.org/resource/Blue_Record	good
73.0	Celestial Lineage	Wolves in the Throne Room	13-Sep-11	87.0	http://dbpedia.org/resource/Celestial_Lineage	good
74.0	Children Running Through	Patty Griffin	6-Feb-07	87.0	http://dbpedia.org/resource/Children_Running_Through	good
75.0	Cold House	Hood	13-Nov-01	87.0	http://dbpedia.org/resource/Cold_House	good
76.0	Congotronics	Konono No. 1	27-Sep-05	87.0	http://dbpedia.org/resource/Congotronics	good
77.0	Decoration Day	Drive-By Truckers	17-Jun-03	87.0	http://dbpedia.org/resource/Decoration_Day_(album)	good
78.0	Dig!!! Lazarus Dig!!!	Nick Cave And The Bad Seeds	8-Apr-08	87.0	http://dbpedia.org/resource/Dig,_Lazarus,_Dig!!!	good
79.0	Favourite Colours	The Sadies	24-Aug-04	87.0	http://dbpedia.org/resource/Favourite_Colours	good
80.0	Fleet Foxes	Fleet Foxes	3-Jun-08	87.0	http://dbpedia.org/resource/Fleet_Foxes_(EP)	good
81.0	Franz Ferdinand	Franz Ferdinand	9-Mar-04	87.0	http://dbpedia.org/resource/Franz_Ferdinand_(DVD)	good
82.0	Gala Mill	The Drones	2-Sep-06	87.0	http://dbpedia.org/resource/Gala_Mill	good
83.0	House of Balloons	The Weeknd	21-Mar-11	87.0	http://dbpedia.org/resource/House_of_Balloons	good
84.0	Leaves Turn Inside You	Unwound	17-Apr-01	87.0	http://dbpedia.org/resource/Leaves_Turn_Inside_You	good
85.0	Let's Stay Friends	Les Savy Fav	18-Sep-07	87.0	http://dbpedia.org/resource/Let's_Stay_Friends	good
86.0	Mass Romantic	The New Pornographers	21-Nov-00	87.0	http://dbpedia.org/resource/Mass_Romantic	good
87.0	Neon Bible	Arcade Fire	6-Mar-07	87.0	http://dbpedia.org/resource/Neon_Bible	good
88.0	Now, More Than Ever	Jim Guthrie	1-Jun-04	87.0	http://dbpedia.org/resource/Now,_More_Than_Ever	good
89.0	Person Pitch	Panda Bear	20-Mar-07	87.0	http://dbpedia.org/resource/Person_Pitch	good
90.0	Phrenology	The Roots	26-Nov-02	87.0	http://dbpedia.org/resource/Phrenology_(album)	good
91.0	Seven Swans	Sufjan Stevens	16-Mar-04	87.0	http://dbpedia.org/resource/Seven_Swans	good
92.0	Silent Movies	Marc Ribot	28-Sep-10	87.0	http://dbpedia.org/resource/Silent_Movies	good
93.0	Spirit Moves	Dave Douglas	16-Jun-09	87.0	http://dbpedia.org/resource/Spirit_Moves	good
94.0	Stumble Into Grace	Emmylou Harris	23-Sep-03	87.0	http://dbpedia.org/resource/Stumble_into_Grace	good
95.0	The Argument	Fugazi	16-Oct-01	87.0	http://dbpedia.org/resource/The_Argument	good
96.0	College Dropout	Kanye West	10-Feb-04	87.0	http://dbpedia.org/resource/The_College_Dropout	good
97.0	The Creek Drank The Cradle	Iron & Wine	24-Sep-02	87.0	http://dbpedia.org/resource/The_Creek_Drank_the_Cradle	good
98.0	The Dirty South	Drive-By Truckers	24-Aug-04	87.0	http://dbpedia.org/resource/The_Dirty_South_(album)	good
99.0	The Suburbs	Arcade Fire	3-Aug-10	87.0	http://dbpedia.org/resource/The_Suburbs_(album)	good
100.0	The Town And The City	Los Lobos	12-Sep-06	87.0	http://dbpedia.org/resource/The_Town_and_the_City_(album)	good
101.0	The Wonder Years	9th Wonder	27-Sep-11	87.0	http://dbpedia.org/resource/The_Wonder_Years_(9th_Wonder_album)	good
102.0	Things We Lost In The Fire	Low	6-Feb-01	87.0	http://dbpedia.org/resource/Things_We_Lost_in_the_Fire_(album)	good
103.0	World Without Tears	Lucinda Williams	8-Apr-03	87.0	http://dbpedia.org/resource/World_Without_Tears	good
104.0	Yankee Hotel Foxtrot	Wilco	23-Apr-02	87.0	http://dbpedia.org/resource/Yankee_Hotel_Foxtrot	good
105.0	45:33:00	LCD Soundsystem	13-Nov-07	86.0	http://dbpedia.org/resource/45:33	good
106.0	All Hands On The Bad One	Sleater-Kinney	2-May-00	86.0	http://dbpedia.org/resource/All_Hands_on_the_Bad_One	good
107.0	Authenticity	The Foreign Exchange	12-Oct-10	86.0	http://dbpedia.org/resource/Authenticity_(Foreign_Exchange_album)	good
108.0	Beautifully Human: Words And Sounds Vol. 2	Jill Scott	31-Aug-04	86.0	http://dbpedia.org/resource/Beautifully_Human:_Words_and_Sounds_Vol._2	good
109.0	Black Sheep Boy	Okkervil River	5-Apr-05	86.0	http://dbpedia.org/resource/Black_Sheep_Boy	good
110.0	Blues Dream	Bill Frisell	30-Jan-01	86.0	http://dbpedia.org/resource/Blues_Dream	good
111.0	Body Talk	Robyn	22-Nov-10	86.0	http://dbpedia.org/resource/Body_Talk_Pt._1	good
112.0	Bon Iver	Bon Iver	21-Jun-11	86.0	http://dbpedia.org/resource/Bon_Iver,_Bon_Iver	good
113.0	Bowie At The Beeb	David Bowie	3-Oct-00	86.0	http://dbpedia.org/resource/Bowie_at_the_Beeb	good
114.0	Boxer	The National	22-May-07	86.0	http://dbpedia.org/resource/Boxer_(album)	good
115.0	Comicopera	Robert Wyatt	9-Oct-07	86.0	http://dbpedia.org/resource/Comicopera	good
116.0	Cosmogramma	Flying Lotus	4-May-10	86.0	http://dbpedia.org/resource/Cosmogramma	good
117.0	David Comes To Life	Fucked Up	7-Jun-11	86.0	http://dbpedia.org/resource/David_Comes_to_Life	good
118.0	Dead Cities, Red Seas & Lost Ghosts	M83	27-Jul-04	86.0	http://dbpedia.org/resource/Dead_Cities,_Red_Seas_&_Lost_Ghosts	good
119.0	Diotima	Krallice	26-Apr-11	86.0	http://dbpedia.org/resource/Diotima_(album)	good
120.0	Empros	Russian Circles	25-Oct-11	86.0	http://dbpedia.org/resource/Empros	good
121.0	Estudando o Pagode	Tom ZÃ©	11-Apr-06	86.0	http://dbpedia.org/resource/Estudando_o_Pagode	good
122.0	Feast of Wire	Calexico	18-Feb-03	86.0	http://dbpedia.org/resource/Feast_of_Wire	good
123.0	Halcyon Digest	Deerhunter	28-Sep-10	86.0	http://dbpedia.org/resource/Halcyon_Digest	good
124.0	Harps And Angels	Randy Newman	5-Aug-08	86.0	http://dbpedia.org/resource/Harps_and_Angels	good
125.0	How I Got Over	The Roots	22-Jun-10	86.0	http://dbpedia.org/resource/How_I_Got_Over_(album)	good
126.0	jj n 2	jj	1-Jul-09	86.0	http://dbpedia.org/resource/Jj_n%C2%B0_2	good
127.0	L'Enfant Sauvage	Gojira	26-Jun-12	86.0	http://dbpedia.org/resource/L'Enfant_Sauvage_(album)	good
128.0	LCD Soundsystem	LCD Soundsystem	15-Feb-05	86.0	http://dbpedia.org/resource/LCD_Soundsystem_(album)	good
129.0	Let England Shake	PJ Harvey	15-Feb-11	86.0	http://dbpedia.org/resource/Let_England_Shake	good
130.0	Little Sparrow	Dolly Parton	23-Jan-01	86.0	http://dbpedia.org/resource/Little_Sparrow	good
131.0	Locked Down	Dr. John	3-Apr-12	86.0	http://dbpedia.org/resource/Locked_Down_(album)	good
132.0	Midlife: A Beginner's Guide To Blur	Blur	28-Jul-09	86.0	http://dbpedia.org/resource/Midlife:_A_Beginner's_Guide_to_Blur	good
133.0	Minimum-Maximum [Live]	Kraftwerk	7-Jun-05	86.0	http://dbpedia.org/resource/Minimum-Maximum	good
134.0	Mirrored	Battles	22-May-07	86.0	http://dbpedia.org/resource/Mirrored	good
135.0	No Said Date	Masta Killa	1-Jun-04	86.0	http://dbpedia.org/resource/No_Said_Date	good
136.0	Ravedeath, 1972	Tim Hecker	15-Feb-11	86.0	http://dbpedia.org/resource/Ravedeath,_1972	good
137.0	Rings Around The World	Super Furry Animals	19-Mar-02	86.0	http://dbpedia.org/resource/Rings_Around_the_World	good
138.0	Robyn	Robyn	29-Apr-08	86.0	http://dbpedia.org/resource/Robyn_(album)	good
139.0	Seek Magic	Memory Tapes	9-Nov-09	86.0	http://dbpedia.org/resource/Seek_Magic	good
140.0	Separation Sunday	The Hold Steady	3-May-05	86.0	http://dbpedia.org/resource/Separation_Sunday	good
141.0	Sound Of Silver	LCD Soundsystem	20-Mar-07	86.0	http://dbpedia.org/resource/Sound_of_Silver	good
142.0	Southern Rock Opera	Drive-By Truckers	16-Jul-02	86.0	http://dbpedia.org/resource/Southern_Rock_Opera	good
143.0	Space Is Only Noise	Nicolas Jaar	28-Jan-11	86.0	http://dbpedia.org/resource/Space_Is_Only_Noise	good
144.0	Stone Rollin'	Raphael Saadiq	10-May-11	86.0	http://dbpedia.org/resource/Stone_Rollin'	good
145.0	The Convincer	Nick Lowe	11-Sep-01	86.0	http://dbpedia.org/resource/The_Convincer	good
146.0	The Decline Of British Sea Power	British Sea Power	9-Sep-03	86.0	http://dbpedia.org/resource/The_Decline_of_British_Sea_Power	good
147.0	The Earth Is Not A Cold Dead Place	Explosions in the Sky	4-Nov-03	86.0	http://dbpedia.org/resource/The_Earth_Is_Not_a_Cold_Dead_Place	good
148.0	The Futureheads	The Futureheads	26-Oct-04	86.0	http://dbpedia.org/resource/The_Futureheads_(album)	good
149.0	The Intercontinentals	Bill Frisell	15-Apr-03	86.0	http://dbpedia.org/resource/The_Intercontinentals	good
150.0	The Lemon Of Pink	The Books	14-Oct-03	86.0	http://dbpedia.org/resource/The_Lemon_of_Pink	good
151.0	Thunder, Lightning, Strike	The Go! Team	4-Oct-05	86.0	http://dbpedia.org/resource/Thunder,_Lightning,_Strike	good
152.0	Time (The Revelator)	Gillian Welch	31-Jul-01	86.0	http://dbpedia.org/resource/Time_(The_Revelator)	good
153.0	Transcendental Blues	Steve Earle	6-Jun-00	86.0	http://dbpedia.org/resource/Transcendental_Blues	good
154.0	Welcome Interstate Managers	Fountains of Wayne	10-Jun-03	86.0	http://dbpedia.org/resource/Welcome_Interstate_Managers	good
155.0	Welcome To Mali	Amadou & Mariam	24-Mar-09	86.0	http://dbpedia.org/resource/Welcome_to_Mali	good
156.0	White Blood Cells	The White Stripes	3-Jul-01	86.0	http://dbpedia.org/resource/White_Blood_Cells_(album)	good
157.0	Who Kill	tUnE-yArDs	19-Apr-11	86.0	http://dbpedia.org/resource/Whokill	good
158.0	You Forgot It In People	Broken Social Scene	3-Jun-03	86.0	http://dbpedia.org/resource/You_Forgot_It_in_People	good
159.0	Young Man In America	AnaÃ¯s Mitchell	28-Feb-12	86.0	http://dbpedia.org/resource/Young_Man_in_America	good
160.0	50 Words for Snow	Kate Bush	21-Nov-11	85.0	http://dbpedia.org/resource/50_Words_for_Snow	good
161.0	The Mysterious Production Of Eggs	Andrew Bird	8-Feb-05	85.0	http://dbpedia.org/resource/Andrew_Bird_&_the_Mysterious_Production_of_Eggs	good
162.0	Avalanche United	I Am the Avalanche	11-Oct-11	85.0	http://dbpedia.org/resource/Avalanche_United	good
163.0	BLACKsummers'night	Maxwell	7-Jul-09	85.0	http://dbpedia.org/resource/BLACKsummers'night	good
164.0	Bitte Orca	Dirty Projectors	9-Jun-09	85.0	http://dbpedia.org/resource/Bitte_Orca	good
165.0	Blinking Lights And Other Revelations	Eels	26-Apr-05	85.0	http://dbpedia.org/resource/Blinking_Lights_and_Other_Revelations	good
166.0	Boys And Girls In America	The Hold Steady	3-Oct-06	85.0	http://dbpedia.org/resource/Boys_and_Girls_in_America	good
167.0	Crazy Ex-Girlfriend	Miranda Lambert	1-May-07	85.0	http://dbpedia.org/resource/Crazy_Ex-Girlfriend	good
168.0	De Vermis Mysteriis	High on Fire	3-Apr-12	85.0	http://dbpedia.org/resource/De_Vermis_Mysteriis_(album)	good
169.0	Don't Give Up On Me	Solomon Burke	23-Jul-02	85.0	http://dbpedia.org/resource/Don't_Give_Up_on_Me	good
170.0	Emeritus	Scarface	2-Dec-08	85.0	http://dbpedia.org/resource/Emeritus_(album)	good
171.0	Enter The Vaselines	The Vaselines	5-May-09	85.0	http://dbpedia.org/resource/Enter_the_Vaselines	good
172.0	Fever To Tell	Yeah Yeah Yeahs	29-Apr-03	85.0	http://dbpedia.org/resource/Fever_to_Tell	good
173.0	For Hero: For Fool	Subtle	3-Oct-06	85.0	http://dbpedia.org/resource/For_Hero:_For_Fool	good
174.0	Fox Confessor Brings The Flood	Neko Case	7-Mar-06	85.0	http://dbpedia.org/resource/Fox_Confessor_Brings_the_Flood	good
175.0	Girls Can Tell	Spoon	20-Feb-01	85.0	http://dbpedia.org/resource/Girls_Can_Tell	good
176.0	Greatest Hits: The Evidence	Ice-T	8-Aug-00	85.0	http://dbpedia.org/resource/Greatest_Hits:_The_Evidence	good
177.0	Hail To The Thief	Radiohead	10-Jun-03	85.0	http://dbpedia.org/resource/Hail_to_the_Thief	good
178.0	Happy Songs For Happy People	Mogwai	17-Jun-03	85.0	http://dbpedia.org/resource/Happy_Songs_for_Happy_People	good
179.0	Have One On Me	Joanna Newsom	23-Feb-10	85.0	http://dbpedia.org/resource/Have_One_on_Me	good
180.0	Helplessness Blues	Fleet Foxes	3-May-11	85.0	http://dbpedia.org/resource/Helplessness_Blues	good
181.0	High Violet	The National	11-May-10	85.0	http://dbpedia.org/resource/High_Violet	good
182.0	I'm Wide Awake, It's Morning	Bright Eyes	25-Jan-05	85.0	http://dbpedia.org/resource/I'm_Wide_Awake,_It's_Morning	good
183.0	I Am Not Afraid Of You And I Will Beat Your Ass	Yo La Tengo	12-Sep-06	85.0	http://dbpedia.org/resource/I_Am_Not_Afraid_of_You_and_I_Will_Beat_Your_Ass	good
184.0	Jasper County	Trisha Yearwood	13-Sep-05	85.0	http://dbpedia.org/resource/Jasper_County_(album)	good
185.0	Journal For Plague Lovers	Manic Street Preachers	15-Sep-09	85.0	http://dbpedia.org/resource/Journal_for_Plague_Lovers	good
186.0	Kish Kash	Basement Jaxx	21-Oct-03	85.0	http://dbpedia.org/resource/Kish_Kash	good
187.0	Late Registration	Kanye West	30-Aug-05	85.0	http://dbpedia.org/resource/Late_Registration	good
188.0	Laulu Laakson Kukista	Paavoharju	22-Jul-08	85.0	http://dbpedia.org/resource/Laulu_Laakson_Kukista	good
189.0	Life...The Best Game In Town	Harvey Milk	3-Jun-08	85.0	http://dbpedia.org/resource/Life..._The_Best_Game_in_Town	good
190.0	Lookaftering	Vashti Bunyan	25-Oct-05	85.0	http://dbpedia.org/resource/Lookaftering	good
191.0	Mezmerize	System Of A Down	17-May-05	85.0	http://dbpedia.org/resource/Mezmerize_(album)	good
192.0	Murs 3:16 The 9th Edition	Murs	23-Mar-04	85.0	http://dbpedia.org/resource/Murs_3:16:_The_9th_Edition	good
193.0	New Brigade	Iceage	21-Jun-11	85.0	http://dbpedia.org/resource/New_Brigade	good
194.0	Oceans Apart	The Go-Betweens	3-May-05	85.0	http://dbpedia.org/resource/Oceans_Apart	good
195.0	Old Ideas	Leonard Cohen	31-Jan-12	85.0	http://dbpedia.org/resource/Old_Ideas	good
196.0	One Beat	Sleater-Kinney	20-Aug-02	85.0	http://dbpedia.org/resource/One_Beat	good
197.0	Party Music	The Coup	6-Nov-01	85.0	http://dbpedia.org/resource/Party_Music	good
198.0	Pause	Four Tet	2-Oct-01	85.0	http://dbpedia.org/resource/Pause_(album)	good
199.0	Quarantine The Past	Pavement	9-Mar-10	85.0	http://dbpedia.org/resource/Quarantine_the_Past:_The_Best_of_Pavement	good
200.0	R.A.P. Music	Killer Mike	15-May-12	85.0	http://dbpedia.org/resource/R.A.P._Music	good
201.0	Rook	Shearwater	3-Jun-08	85.0	http://dbpedia.org/resource/Rook_(album)	good
202.0	Run To Ruin	Nina Nastasia	3-Jun-03	85.0	http://dbpedia.org/resource/Run_to_Ruin	good
203.0	Seasons of My Soul	Rumer	24-Jan-12	85.0	http://dbpedia.org/resource/Seasons_of_My_Soul	good
204.0	Singing Bones	The Handsome Family	7-Oct-03	85.0	http://dbpedia.org/resource/Singing_Bones	good
205.0	Smother	Wild Beasts	10-May-11	85.0	http://dbpedia.org/resource/Smother_(album)	good
206.0	So Beautiful or So What	Paul Simon	12-Apr-11	85.0	http://dbpedia.org/resource/So_Beautiful_or_So_What	good
207.0	Source Tags & Codes	...And You Will Know Us by the Trail of Dead	26-Feb-02	85.0	http://dbpedia.org/resource/Source_Tags_&_Codes	good
208.0	Spiral Shadow	Kylesa	26-Oct-10	85.0	http://dbpedia.org/resource/Spiral_Shadow	good
209.0	Stay Positive	The Hold Steady	15-Jul-08	85.0	http://dbpedia.org/resource/Stay_Positive_(album)	good
210.0	Strange Mercy	St. Vincent	13-Sep-11	85.0	http://dbpedia.org/resource/Strange_Mercy	good
211.0	Street Halo	Burial	28-Mar-11	85.0	http://dbpedia.org/resource/Street_Halo	good
212.0	Supermodified	Amon Tobin	16-May-00	85.0	http://dbpedia.org/resource/Supermodified_(album)	good
213.0	Tenacious D	Tenacious D	25-Sep-01	85.0	http://dbpedia.org/resource/Tenacious_D_(album)	good
214.0	The Airing Of Grievances	Titus Andronicus	13-May-08	85.0	http://dbpedia.org/resource/The_Airing_of_Grievances	good
215.0	The Budos Band III	The Budos Band	10-Aug-10	85.0	http://dbpedia.org/resource/The_Budos_Band_III	good
216.0	Chemistry Of Common Life	Fucked Up	7-Oct-08	85.0	http://dbpedia.org/resource/The_Chemistry_of_Common_Life	good
217.0	The Drift	Scott Walker	23-May-06	85.0	http://dbpedia.org/resource/The_Drift	good
218.0	The Last Broadcast	Doves	4-Jun-02	85.0	http://dbpedia.org/resource/The_Last_Broadcast_(album)	good
219.0	The Meadowlands	The Wrens	9-Sep-03	85.0	http://dbpedia.org/resource/The_Meadowlands_(album)	good
220.0	The Soft Bulletin	The Flaming Lips	22-Jun-99	85.0	http://dbpedia.org/resource/The_Soft_Bulletin	good
221.0	The Ugly Organ	Cursive	4-Mar-03	85.0	http://dbpedia.org/resource/The_Ugly_Organ	good
222.0	This Is Our Science	Astronautalis	13-Sep-11	85.0	http://dbpedia.org/resource/This_Is_Our_Science	good
223.0	This Right Here Is Buck 65	Buck 65	25-Jan-05	85.0	http://dbpedia.org/resource/This_Right_Here_Is_Buck_65	good
224.0	Transatlanticism	Death Cab for Cutie	7-Oct-03	85.0	http://dbpedia.org/resource/Transatlanticism	good
225.0	Twin Cinema	The New Pornographers	23-Aug-05	85.0	http://dbpedia.org/resource/Twin_Cinema	good
226.0	Veckatimest	Grizzly Bear	26-May-09	85.0	http://dbpedia.org/resource/Veckatimest	good
227.0	Wind's Poem	Mount Eerie	18-Aug-09	85.0	http://dbpedia.org/resource/Wind's_Poem	good
228.0	15 Again	Cassius	23-Oct-07	84.0	http://dbpedia.org/resource/15_Again	good
229.0	1991 [EP]	Azealia Banks	12-Jun-12	84.0	http://dbpedia.org/resource/1991_(EP)	good
230.0	A Piece Of What You Need	Teddy Thompson	17-Jun-08	84.0	http://dbpedia.org/resource/A_Piece_of_What_You_Need	good
231.0	A South Bronx Story	ESG	19-May-00	84.0	http://dbpedia.org/resource/A_South_Bronx_Story	good
232.0	Apollo Kids	Ghostface Killah	21-Dec-10	84.0	http://dbpedia.org/resource/Apollo_Kids_(album)	good
