id	label   album	artist	date	rating	DBpedia_URL
33.0	good	Merriweather Post Pavilion	Animal Collective	20-Jan-09	89.0	http://dbpedia.org/resource/Merriweather_Post_Pavilion_(album)
34.0	good	Miss E... So Addictive	Missy Elliott	15-May-01	89.0	http://dbpedia.org/resource/Miss_E..._So_Addictive
35.0	good	Neon Golden	The Notwist	25-Feb-03	89.0	http://dbpedia.org/resource/Neon_Golden
36.0	good	Rounds	Four Tet	6-May-03	89.0	http://dbpedia.org/resource/Rounds_(album)
37.0	good	Sale el Sol	Shakira	19-Oct-10	89.0	http://dbpedia.org/resource/Sale_el_Sol
38.0	good	Since I Left You	The Avalanches	6-Nov-01	89.0	http://dbpedia.org/resource/Since_I_Left_You
39.0	good	Songs For The Deaf	Queens of the Stone Age	27-Aug-02	89.0	http://dbpedia.org/resource/Songs_for_the_Deaf
40.0	good	St. Vincent	St. Vincent	25-Feb-14	89.0	http://dbpedia.org/resource/Strange_Mercy
44.0	good	Abattoir Blues / The Lyre Of Orpheus	Nick Cave And The Bad Seeds	26-Oct-04	88.0	http://dbpedia.org/resource/Abattoir_Blues/The_Lyre_of_Orpheus
45.0	good	Arular	M.I.A.	22-Mar-05	88.0	http://dbpedia.org/resource/Arular
46.0	good	Bad as Me	Tom Waits	25-Oct-11	88.0	http://dbpedia.org/resource/Bad_as_Me
47.0	good	Bay Of Pigs [EP]	Destroyer	18-Aug-09	88.0	http://dbpedia.org/resource/Bay_of_Pigs_(EP)
48.0	good	Black Tambourine	Black Tambourine	30-Mar-10	88.0	http://dbpedia.org/resource/Black_Tambourine_(album)
50.0	good	Chutes Too Narrow	The Shins	21-Oct-03	88.0	http://dbpedia.org/resource/Chutes_Too_Narrow
51.0	good	Crown and Treaty	Sweet Billy Pilgrim	16-Apr-12	88.0	http://dbpedia.org/resource/Crown_and_Treaty_(album)
55.0	good	From A Basement On The Hill	Elliott Smith	19-Oct-04	88.0	http://dbpedia.org/resource/From_a_Basement_on_the_Hill
56.0	good	Hypermagic Mountain	Lightning Bolt	18-Oct-05	88.0	http://dbpedia.org/resource/Hypermagic_Mountain
57.0	good	I Am A Bird Now	Antony and the Johnsons	1-Feb-05	88.0	http://dbpedia.org/resource/I_Am_a_Bird_Now
59.0	good	Invisible Cinema	Aaron Parks	19-Aug-08	88.0	http://dbpedia.org/resource/Invisible_Cinema
60.0	good	Kill The Moonlight	Spoon	20-Aug-02	88.0	http://dbpedia.org/resource/Kill_the_Moonlight
61.0	good	Monoliths & Dimensions	Sunn O)))	26-May-09	88.0	http://dbpedia.org/resource/Monoliths_&_Dimensions
62.0	good	Only Built 4 Cuban Linx... Pt. II	Raekwon	8-Sep-09	88.0	http://dbpedia.org/resource/Only_Built_4_Cuban_Linx..._Pt._II
63.0	good	Rejoicing In The Hands	Devendra Banhart	4-May-04	88.0	http://dbpedia.org/resource/Rejoicing_in_the_Hands
65.0	good	Stories from the City, Stories from the Sea	PJ Harvey	24-Oct-00	88.0	http://dbpedia.org/resource/Stories_from_the_City,_Stories_from_the_Sea
66.0	good	Ta Det Lugnt	Dungen	21-Jun-04	88.0	http://dbpedia.org/resource/Ta_det_lugnt
67.0	good	The Blueprint	Jay-Z	11-Sep-01	88.0	http://dbpedia.org/resource/The_Blueprint
68.0	good	Undun	The Roots	6-Dec-11	88.0	http://dbpedia.org/resource/Undun
69.0	good	Vespertine	BjÃƒÂ¶rk	28-Aug-01	88.0	http://dbpedia.org/resource/Vespertine
70.0	good	Where Shall You Take Me	Damien Jurado	18-Mar-03	88.0	http://dbpedia.org/resource/Where_Shall_You_Take_Me%3F
71.0	good	Airtight's Revenge	Bilal	14-Sep-10	87.0	http://dbpedia.org/resource/Airtight's_Revenge
72.0	good	Blue Record	Baroness	13-Oct-09	87.0	http://dbpedia.org/resource/Blue_Record
73.0	good	Celestial Lineage	Wolves in the Throne Room	13-Sep-11	87.0	http://dbpedia.org/resource/Celestial_Lineage
74.0	good	Children Running Through	Patty Griffin	6-Feb-07	87.0	http://dbpedia.org/resource/Children_Running_Through
75.0	good	Cold House	Hood	13-Nov-01	87.0	http://dbpedia.org/resource/Cold_House
76.0	good	Congotronics	Konono No. 1	27-Sep-05	87.0	http://dbpedia.org/resource/Congotronics
77.0	good	Decoration Day	Drive-By Truckers	17-Jun-03	87.0	http://dbpedia.org/resource/Decoration_Day_(album)
80.0	good	Fleet Foxes	Fleet Foxes	3-Jun-08	87.0	http://dbpedia.org/resource/Fleet_Foxes_(EP)
81.0	good	Franz Ferdinand	Franz Ferdinand	9-Mar-04	87.0	http://dbpedia.org/resource/Franz_Ferdinand_(DVD)
83.0	good	House of Balloons	The Weeknd	21-Mar-11	87.0	http://dbpedia.org/resource/House_of_Balloons
84.0	good	Leaves Turn Inside You	Unwound	17-Apr-01	87.0	http://dbpedia.org/resource/Leaves_Turn_Inside_You
85.0	good	Let's Stay Friends	Les Savy Fav	18-Sep-07	87.0	http://dbpedia.org/resource/Let's_Stay_Friends
87.0	good	Neon Bible	Arcade Fire	6-Mar-07	87.0	http://dbpedia.org/resource/Neon_Bible
89.0	good	Person Pitch	Panda Bear	20-Mar-07	87.0	http://dbpedia.org/resource/Person_Pitch
90.0	good	Phrenology	The Roots	26-Nov-02	87.0	http://dbpedia.org/resource/Phrenology_(album)
91.0	good	Seven Swans	Sufjan Stevens	16-Mar-04	87.0	http://dbpedia.org/resource/Seven_Swans
92.0	good	Silent Movies	Marc Ribot	28-Sep-10	87.0	http://dbpedia.org/resource/Silent_Movies
93.0	good	Spirit Moves	Dave Douglas	16-Jun-09	87.0	http://dbpedia.org/resource/Spirit_Moves
94.0	good	Stumble Into Grace	Emmylou Harris	23-Sep-03	87.0	http://dbpedia.org/resource/Stumble_into_Grace
95.0	good	The Argument	Fugazi	16-Oct-01	87.0	http://dbpedia.org/resource/The_Argument
96.0	good	College Dropout	Kanye West	10-Feb-04	87.0	http://dbpedia.org/resource/The_College_Dropout
98.0	good	The Dirty South	Drive-By Truckers	24-Aug-04	87.0	http://dbpedia.org/resource/The_Dirty_South_(album)
99.0	good	The Suburbs	Arcade Fire	3-Aug-10	87.0	http://dbpedia.org/resource/The_Suburbs_(album)
101.0	good	The Wonder Years	9th Wonder	27-Sep-11	87.0	http://dbpedia.org/resource/The_Wonder_Years_(9th_Wonder_album)
102.0	good	Things We Lost In The Fire	Low	6-Feb-01	87.0	http://dbpedia.org/resource/Things_We_Lost_in_the_Fire_(album)
103.0	good	World Without Tears	Lucinda Williams	8-Apr-03	87.0	http://dbpedia.org/resource/World_Without_Tears
106.0	good	All Hands On The Bad One	Sleater-Kinney	2-May-00	86.0	http://dbpedia.org/resource/All_Hands_on_the_Bad_One
107.0	good	Authenticity	The Foreign Exchange	12-Oct-10	86.0	http://dbpedia.org/resource/Authenticity_(Foreign_Exchange_album)
109.0	good	Black Sheep Boy	Okkervil River	5-Apr-05	86.0	http://dbpedia.org/resource/Black_Sheep_Boy
110.0	good	Blues Dream	Bill Frisell	30-Jan-01	86.0	http://dbpedia.org/resource/Blues_Dream
111.0	good	Body Talk	Robyn	22-Nov-10	86.0	http://dbpedia.org/resource/Body_Talk_Pt._1
112.0	good	Bon Iver	Bon Iver	21-Jun-11	86.0	http://dbpedia.org/resource/Bon_Iver,_Bon_Iver
116.0	good	Cosmogramma	Flying Lotus	4-May-10	86.0	http://dbpedia.org/resource/Cosmogramma
119.0	good	Diotima	Krallice	26-Apr-11	86.0	http://dbpedia.org/resource/Diotima_(album)
120.0	good	Empros	Russian Circles	25-Oct-11	86.0	http://dbpedia.org/resource/Empros
121.0	good	Estudando o Pagode	Tom ZÃƒÂ©	11-Apr-06	86.0	http://dbpedia.org/resource/Estudando_o_Pagode
122.0	good	Feast of Wire	Calexico	18-Feb-03	86.0	http://dbpedia.org/resource/Feast_of_Wire
123.0	good	Halcyon Digest	Deerhunter	28-Sep-10	86.0	http://dbpedia.org/resource/Halcyon_Digest
124.0	good	Harps And Angels	Randy Newman	5-Aug-08	86.0	http://dbpedia.org/resource/Harps_and_Angels
125.0	good	How I Got Over	The Roots	22-Jun-10	86.0	http://dbpedia.org/resource/How_I_Got_Over_(album)
126.0	good	jj n 2	jj	1-Jul-09	86.0	http://dbpedia.org/resource/Jj_n%C2%B0_2
128.0	good	LCD Soundsystem	LCD Soundsystem	15-Feb-05	86.0	http://dbpedia.org/resource/LCD_Soundsystem_(album)
129.0	good	Let England Shake	PJ Harvey	15-Feb-11	86.0	http://dbpedia.org/resource/Let_England_Shake
131.0	good	Locked Down	Dr. John	3-Apr-12	86.0	http://dbpedia.org/resource/Locked_Down_(album)
134.0	good	Mirrored	Battles	22-May-07	86.0	http://dbpedia.org/resource/Mirrored
135.0	good	No Said Date	Masta Killa	1-Jun-04	86.0	http://dbpedia.org/resource/No_Said_Date
136.0	good	Ravedeath, 1972	Tim Hecker	15-Feb-11	86.0	http://dbpedia.org/resource/Ravedeath,_1972
139.0	good	Seek Magic	Memory Tapes	9-Nov-09	86.0	http://dbpedia.org/resource/Seek_Magic
140.0	good	Separation Sunday	The Hold Steady	3-May-05	86.0	http://dbpedia.org/resource/Separation_Sunday
144.0	good	Stone Rollin'	Raphael Saadiq	10-May-11	86.0	http://dbpedia.org/resource/Stone_Rollin'
145.0	good	The Convincer	Nick Lowe	11-Sep-01	86.0	http://dbpedia.org/resource/The_Convincer
147.0	good	The Earth Is Not A Cold Dead Place	Explosions in the Sky	4-Nov-03	86.0	http://dbpedia.org/resource/The_Earth_Is_Not_a_Cold_Dead_Place
148.0	good	The Futureheads	The Futureheads	26-Oct-04	86.0	http://dbpedia.org/resource/The_Futureheads_(album)
150.0	good	The Lemon Of Pink	The Books	14-Oct-03	86.0	http://dbpedia.org/resource/The_Lemon_of_Pink
151.0	good	Thunder, Lightning, Strike	The Go! Team	4-Oct-05	86.0	http://dbpedia.org/resource/Thunder,_Lightning,_Strike
152.0	good	Time (The Revelator)	Gillian Welch	31-Jul-01	86.0	http://dbpedia.org/resource/Time_(The_Revelator)
153.0	good	Transcendental Blues	Steve Earle	6-Jun-00	86.0	http://dbpedia.org/resource/Transcendental_Blues
154.0	good	Welcome Interstate Managers	Fountains of Wayne	10-Jun-03	86.0	http://dbpedia.org/resource/Welcome_Interstate_Managers
155.0	good	Welcome To Mali	Amadou & Mariam	24-Mar-09	86.0	http://dbpedia.org/resource/Welcome_to_Mali
156.0	good	White Blood Cells	The White Stripes	3-Jul-01	86.0	http://dbpedia.org/resource/White_Blood_Cells_(album)
157.0	good	Who Kill	tUnE-yArDs	19-Apr-11	86.0	http://dbpedia.org/resource/Whokill
158.0	good	You Forgot It In People	Broken Social Scene	3-Jun-03	86.0	http://dbpedia.org/resource/You_Forgot_It_in_People
159.0	good	Young Man In America	AnaÃƒÂ¯s Mitchell	28-Feb-12	86.0	http://dbpedia.org/resource/Young_Man_in_America
160.0	good	50 Words for Snow	Kate Bush	21-Nov-11	85.0	http://dbpedia.org/resource/50_Words_for_Snow
161.0	good	The Mysterious Production Of Eggs	Andrew Bird	8-Feb-05	85.0	http://dbpedia.org/resource/Andrew_Bird_&_the_Mysterious_Production_of_Eggs
163.0	good	BLACKsummers'night	Maxwell	7-Jul-09	85.0	http://dbpedia.org/resource/BLACKsummers'night
166.0	good	Boys And Girls In America	The Hold Steady	3-Oct-06	85.0	http://dbpedia.org/resource/Boys_and_Girls_in_America
167.0	good	Crazy Ex-Girlfriend	Miranda Lambert	1-May-07	85.0	http://dbpedia.org/resource/Crazy_Ex-Girlfriend
168.0	good	De Vermis Mysteriis	High on Fire	3-Apr-12	85.0	http://dbpedia.org/resource/De_Vermis_Mysteriis_(album)
169.0	good	Don't Give Up On Me	Solomon Burke	23-Jul-02	85.0	http://dbpedia.org/resource/Don't_Give_Up_on_Me
170.0	good	Emeritus	Scarface	2-Dec-08	85.0	http://dbpedia.org/resource/Emeritus_(album)
171.0	good	Enter The Vaselines	The Vaselines	5-May-09	85.0	http://dbpedia.org/resource/Enter_the_Vaselines
172.0	good	Fever To Tell	Yeah Yeah Yeahs	29-Apr-03	85.0	http://dbpedia.org/resource/Fever_to_Tell
174.0	good	Fox Confessor Brings The Flood	Neko Case	7-Mar-06	85.0	http://dbpedia.org/resource/Fox_Confessor_Brings_the_Flood
175.0	good	Girls Can Tell	Spoon	20-Feb-01	85.0	http://dbpedia.org/resource/Girls_Can_Tell
176.0	good	Greatest Hits: The Evidence	Ice-T	8-Aug-00	85.0	http://dbpedia.org/resource/Greatest_Hits:_The_Evidence
177.0	good	Hail To The Thief	Radiohead	10-Jun-03	85.0	http://dbpedia.org/resource/Hail_to_the_Thief
178.0	good	Happy Songs For Happy People	Mogwai	17-Jun-03	85.0	http://dbpedia.org/resource/Happy_Songs_for_Happy_People
179.0	good	Have One On Me	Joanna Newsom	23-Feb-10	85.0	http://dbpedia.org/resource/Have_One_on_Me
180.0	good	Helplessness Blues	Fleet Foxes	3-May-11	85.0	http://dbpedia.org/resource/Helplessness_Blues
183.0	good	I Am Not Afraid Of You And I Will Beat Your Ass	Yo La Tengo	12-Sep-06	85.0	http://dbpedia.org/resource/I_Am_Not_Afraid_of_You_and_I_Will_Beat_Your_Ass
184.0	good	Jasper County	Trisha Yearwood	13-Sep-05	85.0	http://dbpedia.org/resource/Jasper_County_(album)
185.0	good	Journal For Plague Lovers	Manic Street Preachers	15-Sep-09	85.0	http://dbpedia.org/resource/Journal_for_Plague_Lovers
186.0	good	Kish Kash	Basement Jaxx	21-Oct-03	85.0	http://dbpedia.org/resource/Kish_Kash
187.0	good	Late Registration	Kanye West	30-Aug-05	85.0	http://dbpedia.org/resource/Late_Registration
189.0	good	Life...The Best Game In Town	Harvey Milk	3-Jun-08	85.0	http://dbpedia.org/resource/Life..._The_Best_Game_in_Town
191.0	good	Mezmerize	System Of A Down	17-May-05	85.0	http://dbpedia.org/resource/Mezmerize_(album)
192.0	good	Murs 3:16 The 9th Edition	Murs	23-Mar-04	85.0	http://dbpedia.org/resource/Murs_3:16:_The_9th_Edition
194.0	good	Oceans Apart	The Go-Betweens	3-May-05	85.0	http://dbpedia.org/resource/Oceans_Apart
195.0	good	Old Ideas	Leonard Cohen	31-Jan-12	85.0	http://dbpedia.org/resource/Old_Ideas
196.0	good	One Beat	Sleater-Kinney	20-Aug-02	85.0	http://dbpedia.org/resource/One_Beat
197.0	good	Party Music	The Coup	6-Nov-01	85.0	http://dbpedia.org/resource/Party_Music
199.0	good	Quarantine The Past	Pavement	9-Mar-10	85.0	http://dbpedia.org/resource/Quarantine_the_Past:_The_Best_of_Pavement
200.0	good	R.A.P. Music	Killer Mike	15-May-12	85.0	http://dbpedia.org/resource/R.A.P._Music
202.0	good	Run To Ruin	Nina Nastasia	3-Jun-03	85.0	http://dbpedia.org/resource/Run_to_Ruin
203.0	good	Seasons of My Soul	Rumer	24-Jan-12	85.0	http://dbpedia.org/resource/Seasons_of_My_Soul
206.0	good	So Beautiful or So What	Paul Simon	12-Apr-11	85.0	http://dbpedia.org/resource/So_Beautiful_or_So_What
207.0	good	Source Tags & Codes	...And You Will Know Us by the Trail of Dead	26-Feb-02	85.0	http://dbpedia.org/resource/Source_Tags_&_Codes
211.0	good	Street Halo	Burial	28-Mar-11	85.0	http://dbpedia.org/resource/Street_Halo
212.0	good	Supermodified	Amon Tobin	16-May-00	85.0	http://dbpedia.org/resource/Supermodified_(album)
213.0	good	Tenacious D	Tenacious D	25-Sep-01	85.0	http://dbpedia.org/resource/Tenacious_D_(album)
214.0	good	The Airing Of Grievances	Titus Andronicus	13-May-08	85.0	http://dbpedia.org/resource/The_Airing_of_Grievances
215.0	good	The Budos Band III	The Budos Band	10-Aug-10	85.0	http://dbpedia.org/resource/The_Budos_Band_III
216.0	good	Chemistry Of Common Life	Fucked Up	7-Oct-08	85.0	http://dbpedia.org/resource/The_Chemistry_of_Common_Life
219.0	good	The Meadowlands	The Wrens	9-Sep-03	85.0	http://dbpedia.org/resource/The_Meadowlands_(album)
221.0	good	The Ugly Organ	Cursive	4-Mar-03	85.0	http://dbpedia.org/resource/The_Ugly_Organ
222.0	good	This Is Our Science	Astronautalis	13-Sep-11	85.0	http://dbpedia.org/resource/This_Is_Our_Science
226.0	good	Veckatimest	Grizzly Bear	26-May-09	85.0	http://dbpedia.org/resource/Veckatimest
228.0	good	15 Again	Cassius	23-Oct-07	84.0	http://dbpedia.org/resource/15_Again
229.0	good	1991 [EP]	Azealia Banks	12-Jun-12	84.0	http://dbpedia.org/resource/1991_(EP)
230.0	good	A Piece Of What You Need	Teddy Thompson	17-Jun-08	84.0	http://dbpedia.org/resource/A_Piece_of_What_You_Need
232.0	good	Apollo Kids	Ghostface Killah	21-Dec-10	84.0	http://dbpedia.org/resource/Apollo_Kids_(album)
235.0	good	Black Cadillac	Rosanne Cash	24-Jan-06	84.0	http://dbpedia.org/resource/Black_Cadillac
236.0	good	Blood Money	Tom Waits	7-May-02	84.0	http://dbpedia.org/resource/Blood_Money_(Tom_Waits_album)
237.0	good	Blue Cathedral	Comets On Fire	27-Jul-04	84.0	http://dbpedia.org/resource/Blue_Cathedral
238.0	good	Bow Down To The Exit Sign	David Holmes	21-Jul-00	84.0	http://dbpedia.org/resource/Bow_Down_to_the_Exit_Sign
240.0	good	Central Reservation	Beth Orton	9-Mar-99	84.0	http://dbpedia.org/resource/Central_Reservation_(album)
241.0	good	Clap Your Hands Say Yeah	Clap Your Hands Say Yeah	28-Jun-05	84.0	http://dbpedia.org/resource/Clap_Your_Hands_Say_Yeah_(album)
242.0	good	Cobblestone Runway	Ron Sexsmith	8-Oct-02	84.0	http://dbpedia.org/resource/Cobblestone_Runway
243.0	good	Copia	Eluvium	20-Feb-07	84.0	http://dbpedia.org/resource/Copia_(album)
244.0	good	Coquelicot Asleep In The Poppies	Of Montreal	24-Apr-01	84.0	http://dbpedia.org/resource/Coquelicot_Asleep_in_the_Poppies:_A_Variety_of_Whimsical_Verse
245.0	good	Dark Days/Light Years	Super Furry Animals	21-Apr-09	84.0	http://dbpedia.org/resource/Dark_Days/Light_Years
246.0	good	Don't Do Anything	Sam Phillips	3-Jun-08	84.0	http://dbpedia.org/resource/Don't_Do_Anything
247.0	good	Dr. No's Ethiopium	Oh No	24-Nov-09	84.0	http://dbpedia.org/resource/Dr._No's_Ethiopium
248.0	good	Electric Dirt	Levon Helm	30-Jun-09	84.0	http://dbpedia.org/resource/Electric_Dirt
249.0	good	Extraordinary Machine	Fiona Apple	4-Oct-05	84.0	http://dbpedia.org/resource/Extraordinary_Machine
250.0	good	Fall Be Kind [EP]	Animal Collective	15-Dec-09	84.0	http://dbpedia.org/resource/Fall_Be_Kind
251.0	good	Feels	Animal Collective	18-Oct-05	84.0	http://dbpedia.org/resource/Feels
252.0	good	From The Forest To The Sea	Southeast Engine	17-Feb-09	84.0	http://dbpedia.org/resource/From_the_Forest_to_the_Sea
254.0	good	Geogaddi	Boards of Canada	19-Feb-02	84.0	http://dbpedia.org/resource/Geogaddi
256.0	good	Ghosts Of The Great Highway	Sun Kil Moon	4-Nov-03	84.0	http://dbpedia.org/resource/Ghosts_of_the_Great_Highway
257.0	good	Gimme Fiction	Spoon	10-May-05	84.0	http://dbpedia.org/resource/Gimme_Fiction
259.0	good	Imidiwan: Companions	Tinariwen	29-Jun-09	84.0	http://dbpedia.org/resource/Imidiwan
260.0	good	Ire Works	The Dillinger Escape Plan	13-Nov-07	84.0	http://dbpedia.org/resource/Ire_Works
262.0	good	Lesser Matters	The Radio Dept.	30-Aug-04	84.0	http://dbpedia.org/resource/Lesser_Matters
264.0	good	Lost And Safe	The Books	5-Apr-05	84.0	http://dbpedia.org/resource/Lost_and_Safe
265.0	good	Mar Dulce	Bajofondo	15-Jul-08	84.0	http://dbpedia.org/resource/Mar_Dulce_(album)
266.0	good	Modern Apprentice	Ikara Colt	7-Jun-04	84.0	http://dbpedia.org/resource/Modern_Apprentice
267.0	good	Multiply	Jamie Lidell	28-Jun-05	84.0	http://dbpedia.org/resource/Multiply_Additions
268.0	good	Mwng	Super Furry Animals	20-Jun-00	84.0	http://dbpedia.org/resource/Mwng
270.0	good	ONoffON	Mission of Burma	4-May-04	84.0	http://dbpedia.org/resource/ONoffON
271.0	good	Old Ramon	Red House Painters	10-Apr-01	84.0	http://dbpedia.org/resource/Old_Ramon
272.0	good	Our Endless Numbered Days	Iron & Wine	23-Mar-04	84.0	http://dbpedia.org/resource/Our_Endless_Numbered_Days
273.0	good	Pop Tune	Shonen Knife	12-Jun-12	84.0	http://dbpedia.org/resource/Pop_Tune
274.0	good	S.T.R.E.E.T. D.A.D.	Out Hud	19-Nov-02	84.0	http://dbpedia.org/resource/S.T.R.E.E.T._D.A.D.
277.0	good	Sometimes the Blues is Just a Passing Bird	The Tallest Man on Earth	9-Nov-10	84.0	http://dbpedia.org/resource/Sometimes_the_Blues_Is_Just_a_Passing_Bird
278.0	good	Suburbia I've Given You All and Now I'm Nothing	The Wonder Years	14-Jun-11	84.0	http://dbpedia.org/resource/Suburbia_I've_Given_You_All_and_Now_I'm_Nothing
280.0	good	Takk...	Sigur RÃƒÂ³s	13-Sep-05	84.0	http://dbpedia.org/resource/Takk...
281.0	good	Tarot Sport	Fuck Buttons	20-Oct-09	84.0	http://dbpedia.org/resource/Tarot_Sport
282.0	good	Ten Stories	mewithoutYou	15-May-12	84.0	http://dbpedia.org/resource/Ten_Stories
284.0	good	The Beginning Stages Of...	The Polyphonic Spree	4-Jun-02	84.0	http://dbpedia.org/resource/The_Beginning_Stages_of...
286.0	good	The Crane Wife	The Decemberists	3-Oct-06	84.0	http://dbpedia.org/resource/The_Crane_Wife
287.0	good	The Evening Of My Best Day	Rickie Lee Jones	7-Oct-03	84.0	http://dbpedia.org/resource/The_Evening_of_My_Best_Day
288.0	good	The Fine Art of Self-Destruction	Jesse Malin	28-Jan-03	84.0	http://dbpedia.org/resource/The_Fine_Art_of_Self_Destruction
289.0	good	The Pretty Toney Album	Ghostface Killah	20-Apr-04	84.0	http://dbpedia.org/resource/The_Pretty_Toney_Album
292.0	good	The Smell Of Our Own	The Hidden Cameras	6-May-03	84.0	http://dbpedia.org/resource/The_Smell_of_Our_Own
293.0	good	The Violet Hour	The Clientele	8-Jul-03	84.0	http://dbpedia.org/resource/The_Violet_Hour_(album)
294.0	good	These Were The Earlies	The Earlies	25-Oct-05	84.0	http://dbpedia.org/resource/These_Were_the_Earlies
296.0	good	Treats	Sleigh Bells	1-Jun-10	84.0	http://dbpedia.org/resource/Treats_(album)
300.0	good	Wake Up The Nation	Paul Weller	1-Jun-10	84.0	http://dbpedia.org/resource/Wake_Up_the_Nation
301.0	good	We Love Life	Pulp	20-Aug-02	84.0	http://dbpedia.org/resource/We_Love_Life
302.0	good	Winter Hymn Country Hymn Secret Hymn	Do Make Say Think	7-Oct-03	84.0	http://dbpedia.org/resource/Winter_Hymn_Country_Hymn_Secret_Hymn
304.0	good	Yoshimi Battles The Pink Robots	The Flaming Lips	16-Jul-02	84.0	http://dbpedia.org/resource/Yoshimi_Battles_the_Pink_Robots
305.0	good	A Boot And A Shoe	Sam Phillips	27-Apr-04	83.0	http://dbpedia.org/resource/A_Boot_and_a_Shoe
306.0	good	American Gangster	Jay-Z	6-Nov-07	83.0	http://dbpedia.org/resource/American_Gangster_(album)
307.0	good	Andorra	Caribou	21-Aug-07	83.0	http://dbpedia.org/resource/Andorra_(album)
308.0	good	Apologies To The Queen Mary	Wolf Parade	27-Sep-05	83.0	http://dbpedia.org/resource/Apologies_to_the_Queen_Mary
309.0	good	Bang Bang Rock & Roll	Art Brut	9-May-06	83.0	http://dbpedia.org/resource/Bang_Bang_Rock_&_Roll
311.0	good	Blackjazz	Shining	2-Feb-10	83.0	http://dbpedia.org/resource/Blackjazz
312.0	good	Blue Sky Noise	Circa Survive	20-Apr-10	83.0	http://dbpedia.org/resource/Blue_Sky_Noise
313.0	good	Bright Ideas	Portastatic	23-Aug-05	83.0	http://dbpedia.org/resource/Bright_Ideas
314.0	good	Brighter Than Creation's Dark	Drive-By Truckers	22-Jan-08	83.0	http://dbpedia.org/resource/Brighter_Than_Creation's_Dark
315.0	good	Carboniferous	Zu	17-Feb-09	83.0	http://dbpedia.org/resource/Carboniferous_(album)
316.0	good	Celebration Rock	Japandroids	5-Jun-12	83.0	http://dbpedia.org/resource/Celebration_Rock
319.0	good	Control System	Ab-Soul	11-May-12	83.0	http://dbpedia.org/resource/Control_System
320.0	good	Escondida	Jolie Holland	27-Apr-04	83.0	http://dbpedia.org/resource/Escondida_(album)
321.0	good	Eyes & Nines	Trash Talk	8-Jun-10	83.0	http://dbpedia.org/resource/Eyes_&_Nines
322.0	good	Faking The Books	Lali Puna	20-Apr-04	83.0	http://dbpedia.org/resource/Faking_the_Books
326.0	good	Good News For People Who Love Bad News	Modest Mouse	6-Apr-04	83.0	http://dbpedia.org/resource/Good_News_for_People_Who_Love_Bad_News
328.0	good	Grinderman	Grinderman	10-Apr-07	83.0	http://dbpedia.org/resource/Grinderman_2
329.0	good	Harmonicraft	Torche	24-Apr-12	83.0	http://dbpedia.org/resource/Harmonicraft
331.0	good	Hot Sauce Committee, Pt. 2	Beastie Boys	3-May-11	83.0	http://dbpedia.org/resource/Hot_Sauce_Committee_Part_Two
